IdLog,IdLogTypeFK,IdUtilizadorFK,DataHorario
308,2,9081,27/1/2025 11:22:30
309,3,16521,12/4/2022 18:23:27
310,2,4806,19/10/2024 16:44:05
311,9,6843,11/3/2025 06:01:31
312,2,4345,14/10/2024 16:15:23
313,6,6170,27/11/2022 07:52:11
314,6,3988,9/8/2022 09:09:02
315,11,7981,12/8/2024 13:16:58
316,3,15431,31/8/2024 15:25:49
317,8,7563,14/1/2023 01:49:27
318,2,17692,7/1/2023 01:15:17
319,9,19257,6/4/2022 23:48:51
320,10,5388,22/2/2023 00:49:59
321,7,14841,7/12/2025 05:47:23
322,3,16942,29/11/2024 04:31:48
323,6,4337,15/10/2025 09:25:10
324,10,18681,14/2/2023 20:53:09
325,11,1726,21/5/2024 22:46:20
326,2,8932,21/3/2025 01:45:22
327,3,2307,20/11/2023 14:56:58
328,6,12782,28/2/2023 16:52:32
329,10,3211,3/8/2022 16:23:44
330,10,19951,5/3/2022 15:17:32
331,4,3023,13/9/2022 16:33:11
332,7,18055,9/1/2024 20:21:03
333,11,19304,16/4/2025 12:15:27
334,1,18545,13/12/2025 12:58:41
335,4,19745,1/12/2024 19:28:32
336,1,3522,4/5/2023 09:11:38
337,10,17581,7/5/2025 02:02:39
338,4,2247,26/3/2023 18:22:56
339,9,19314,15/8/2025 08:55:25
340,3,5133,12/6/2025 01:58:39
341,8,8313,7/8/2022 03:28:34
342,7,4877,12/11/2025 13:44:47
343,2,4053,11/4/2023 10:03:17
344,9,15783,4/3/2024 12:09:28
345,6,17449,21/7/2022 16:27:40
346,1,475,12/5/2024 13:25:09
347,4,14824,8/12/2022 21:34:29
348,5,17121,26/1/2023 19:49:45
349,3,19683,12/10/2024 13:54:02
350,8,10930,18/7/2024 20:16:14
351,5,14030,20/9/2025 01:28:39
352,10,3276,12/6/2025 17:39:03
353,1,15458,17/6/2023 05:55:12
354,4,2220,13/7/2025 03:34:16
355,8,1342,17/10/2022 17:40:36
356,9,13909,6/5/2023 07:47:43
357,2,9576,18/4/2025 09:25:21
358,9,18965,26/7/2022 21:05:32
359,10,16294,1/6/2024 01:10:56
360,2,4519,28/7/2022 22:33:21
361,6,1581,19/10/2022 14:34:17
362,5,5292,18/10/2024 10:28:26
363,2,10794,15/1/2024 06:07:54
364,6,12560,9/7/2025 23:49:23
365,8,13885,13/2/2025 12:22:15
366,10,19579,13/10/2022 18:57:12
367,11,19316,3/9/2025 10:10:05
368,6,12596,29/1/2022 16:31:53
369,8,13751,5/8/2022 06:39:02
370,9,4960,19/4/2025 21:14:46
371,10,18762,20/9/2023 20:19:49
372,2,7082,30/6/2022 16:04:59
373,1,5992,6/4/2024 08:25:39
374,2,17954,15/3/2024 12:40:46
375,6,9141,30/6/2022 12:47:53
376,1,17303,10/7/2024 17:19:15
377,3,17623,10/12/2022 14:43:06
378,8,2118,11/5/2023 02:02:00
379,2,17400,27/2/2024 20:27:12
380,1,3032,16/10/2022 12:33:46
381,11,4486,27/5/2024 00:31:31
382,11,10046,16/4/2024 16:41:15
383,8,6119,6/5/2024 02:38:16
384,1,12065,1/8/2023 20:17:52
385,1,11291,5/4/2023 18:44:21
386,10,14246,30/7/2024 16:16:53
387,1,10252,6/8/2024 20:27:44
388,5,1219,27/2/2025 19:55:12
389,9,3760,29/9/2024 15:10:47
390,4,4972,19/4/2024 15:34:31
391,9,425,12/2/2025 02:18:58
392,9,6285,6/9/2025 08:00:40
393,10,18921,5/4/2024 15:35:47
394,4,6198,13/9/2023 11:30:51
395,2,765,28/11/2022 01:00:08
396,11,16731,25/5/2025 11:09:03
397,2,1851,28/11/2023 23:13:00
398,7,16743,1/3/2022 04:32:46
399,7,12513,21/1/2023 03:36:32
400,7,7360,8/6/2025 11:28:16
401,11,18108,17/2/2024 18:33:37
402,4,14120,17/1/2022 22:20:47
403,10,7693,30/4/2023 11:05:56
404,9,15843,30/11/2024 10:21:04
405,8,8661,27/7/2024 09:16:36
406,5,17064,24/10/2025 12:39:29
407,2,4117,28/11/2025 19:20:18
408,9,3395,18/2/2023 14:46:19
409,6,16086,2/1/2022 23:12:34
410,7,17008,1/4/2025 13:44:11
411,7,2709,6/12/2022 18:00:29
412,4,10946,26/10/2022 14:01:52
413,7,3703,12/8/2025 18:20:56
414,7,13900,23/12/2024 12:32:16
415,2,17257,20/6/2024 12:12:11
416,11,19207,8/2/2022 10:23:01
417,2,9331,16/5/2024 02:41:09
418,9,3597,26/3/2023 02:28:36
419,1,19557,30/10/2023 15:58:47
420,2,3184,11/2/2022 01:47:29
421,4,12359,11/5/2024 13:47:04
422,3,9543,11/3/2025 13:03:03
423,10,14011,9/10/2022 03:19:11
424,6,5820,21/8/2022 21:31:28
425,10,19680,21/3/2024 00:02:41
426,10,7035,14/3/2025 12:29:56
427,2,18036,17/12/2023 05:02:59
428,11,12555,2/10/2022 22:22:56
429,2,13245,2/3/2024 16:47:27
430,4,12476,18/1/2022 14:21:05
431,11,12260,12/5/2023 10:07:32
432,2,16597,23/2/2025 18:59:13
433,6,17599,4/2/2024 06:46:43
434,1,9873,29/12/2022 16:16:07
435,2,8141,17/7/2023 04:26:42
436,3,13650,9/11/2022 08:19:37
437,10,18662,23/9/2023 03:00:23
438,11,8060,4/7/2024 18:06:07
439,1,5174,18/7/2025 09:39:05
440,10,3459,5/10/2022 09:55:23
441,11,732,12/1/2024 15:34:44
442,3,4212,21/10/2023 10:52:43
443,3,5372,12/3/2024 02:42:23
444,2,11816,25/2/2023 00:47:50
445,4,2515,5/9/2023 15:47:33
446,6,1081,9/9/2022 21:00:06
447,5,3407,25/9/2023 14:50:00
448,1,16546,15/9/2024 16:56:31
449,8,12843,25/10/2025 18:08:51
450,8,8988,1/6/2025 15:17:53
451,2,10326,5/11/2025 18:10:44
452,4,15468,10/3/2023 02:06:19
453,10,9202,28/9/2023 13:26:48
454,5,823,12/2/2024 15:39:55
455,1,5813,27/5/2025 11:53:24
456,10,19897,23/2/2023 14:11:11
457,1,884,15/12/2022 02:43:29
458,4,5998,4/3/2024 23:41:27
459,1,7208,8/9/2022 06:44:28
460,2,14864,3/10/2022 17:16:00
461,1,17751,28/10/2025 06:20:34
462,7,17045,21/6/2024 14:32:44
463,8,17377,21/2/2024 05:56:34
464,9,6196,16/9/2023 02:24:00
465,6,4533,31/8/2023 09:01:56
466,1,2340,4/1/2025 11:54:35
467,3,3799,25/11/2025 05:19:12
468,2,3579,27/9/2024 22:24:42
469,7,13464,30/5/2022 22:29:09
470,2,3295,25/3/2023 04:38:38
471,5,15681,25/2/2022 03:27:44
472,2,1012,16/6/2024 07:04:09
473,8,8081,3/6/2025 17:35:09
474,7,16352,10/1/2022 12:22:49
475,9,1770,13/2/2023 08:21:20
476,6,13749,12/9/2022 20:35:54
477,3,17667,12/1/2025 05:08:32
478,1,6767,3/9/2023 20:27:01
479,10,12596,23/6/2022 17:47:35
480,5,13808,20/12/2023 05:10:25
481,7,19210,19/4/2024 12:23:13
482,4,1906,24/9/2022 18:13:09
483,7,18439,9/12/2022 03:06:49
484,6,5036,28/10/2025 09:04:11
485,11,8326,29/2/2024 02:18:37
486,8,3539,25/7/2023 23:28:50
487,1,8658,21/11/2022 22:06:13
488,5,10568,9/8/2023 15:23:47
489,7,11765,12/4/2024 08:11:59
490,3,2176,12/9/2025 23:29:47
491,4,17305,26/1/2025 12:51:31
492,4,3840,6/5/2022 03:53:22
493,8,12877,6/6/2022 01:58:24
494,9,6794,9/7/2022 04:07:02
495,2,6718,18/9/2022 18:29:12
496,5,17858,18/3/2025 23:17:35
497,9,9097,7/2/2023 21:21:04
498,6,16820,25/4/2022 00:04:32
499,2,17856,23/1/2023 10:21:14
500,7,11193,3/2/2024 16:32:40
501,2,16615,11/10/2024 22:57:00
502,11,1212,16/5/2022 20:02:15
503,2,187,23/1/2025 23:12:10
504,6,13954,2/6/2024 07:51:43
505,7,5969,22/9/2024 23:54:38
506,10,17038,9/1/2023 07:36:01
507,8,4069,27/12/2025 08:26:10
508,1,6449,15/5/2022 19:41:48
509,5,19646,15/3/2024 11:06:38
510,3,12808,10/3/2025 07:15:07
511,7,7551,17/1/2023 04:05:01
512,7,19,14/6/2022 01:05:19
513,11,12299,19/7/2024 21:51:29
514,10,11426,5/1/2025 20:17:45
515,2,16808,5/9/2024 04:05:13
516,11,18477,15/2/2025 13:44:46
517,2,2467,24/11/2025 11:22:05
518,9,16369,27/11/2024 07:15:51
519,8,9841,18/10/2025 12:33:24
520,7,14140,20/1/2025 16:40:25
521,1,2263,21/2/2023 17:05:12
522,1,1339,9/5/2024 21:43:18
523,6,2364,17/2/2023 17:02:44
524,6,17969,11/1/2024 18:25:51
525,5,17923,24/12/2022 22:04:18
526,8,19496,1/7/2022 12:55:23
527,10,3823,24/4/2022 10:05:30
528,7,17485,15/10/2022 04:02:49
529,5,19019,10/11/2023 01:31:58
530,10,2190,15/5/2023 18:41:49
531,1,11999,31/10/2025 06:07:52
532,7,1645,8/11/2025 05:01:50
533,10,2759,12/7/2023 03:57:06
534,10,11789,24/10/2024 10:37:48
535,9,12018,11/3/2022 05:50:53
536,5,16839,1/12/2022 00:23:19
537,6,19449,7/12/2024 04:44:18
538,9,12650,18/11/2022 16:10:16
539,9,5389,5/2/2024 21:17:37
540,3,4953,30/5/2022 10:10:00
541,6,13366,30/7/2022 04:41:04
542,9,9245,12/5/2023 08:46:53
543,3,17343,23/4/2025 02:18:45
544,5,2303,17/5/2024 19:28:39
545,2,19117,28/6/2023 19:47:58
546,3,5370,1/3/2022 01:33:35
547,4,6021,24/2/2022 03:58:06
548,4,19667,13/6/2023 18:27:40
549,4,6215,31/3/2023 07:19:13
550,3,4469,23/5/2025 04:59:03
551,2,2728,30/6/2025 15:50:12
552,7,15305,20/10/2024 09:53:37
553,4,7396,16/9/2024 02:24:34
554,3,938,27/7/2023 08:18:01
555,9,9697,6/11/2022 14:23:19
556,11,17682,11/2/2025 15:01:52
557,5,15067,18/2/2022 03:22:49
558,10,2110,5/10/2025 06:46:03
559,9,12646,1/2/2025 23:10:01
560,4,18957,11/7/2024 22:21:41
561,11,4772,28/8/2023 02:49:56
562,7,14705,4/4/2025 21:57:49
563,1,15404,11/4/2023 09:12:31
564,4,17686,17/12/2024 05:08:36
565,5,2846,4/9/2023 07:57:18
566,6,10782,25/8/2025 04:24:41
567,8,5473,28/10/2025 13:52:33
568,5,12241,1/4/2024 21:07:14
569,10,5640,9/9/2022 09:01:04
570,6,15209,29/2/2024 08:28:59
571,7,15541,16/8/2025 13:42:43
572,9,19480,15/10/2024 21:59:18
573,3,9694,22/10/2022 21:08:11
574,4,17125,10/8/2025 07:29:58
575,8,7000,1/7/2023 11:55:41
576,6,7074,18/5/2022 05:15:03
577,4,9451,29/11/2025 01:48:16
578,5,8316,9/2/2025 02:43:22
579,5,15324,13/2/2022 22:08:12
580,2,15107,5/3/2022 20:23:12
581,5,12046,11/9/2025 13:05:10
582,8,14695,15/5/2023 22:32:47
583,6,12200,22/12/2025 21:53:55
584,2,11566,15/2/2022 04:27:23
585,1,13238,31/10/2025 05:20:39
586,8,7965,30/5/2025 19:32:28
587,9,8983,27/12/2024 12:46:07
588,7,10407,4/8/2024 07:02:27
589,8,4448,15/3/2024 10:56:29
590,11,9154,27/5/2025 01:26:21
591,11,18892,7/6/2023 17:18:15
592,5,7291,15/9/2022 18:17:58
593,2,5770,21/12/2023 02:35:40
594,10,10275,11/9/2022 17:55:08
595,2,5151,8/2/2022 21:21:15
596,9,16684,1/8/2022 15:58:08
597,6,10976,30/12/2023 10:20:32
598,6,9470,23/1/2025 01:28:41
599,6,19715,13/6/2025 23:20:23
600,8,4099,15/2/2024 00:25:22
601,10,4187,14/11/2023 19:37:03
602,4,17771,28/6/2025 03:32:11
603,9,897,26/4/2024 11:04:40
604,1,11243,5/7/2024 10:08:17
605,5,10594,7/5/2024 06:19:11
606,11,15413,26/4/2024 14:15:33
607,6,8797,18/4/2025 17:47:56
608,5,15629,23/1/2022 12:08:43
609,1,12856,1/10/2025 18:50:30
610,6,10443,10/2/2022 11:27:18
611,6,18380,18/6/2022 07:16:56
612,1,2192,26/6/2025 05:01:22
613,9,90,13/11/2025 05:53:35
614,1,4063,23/1/2024 14:46:52
615,10,7679,24/7/2024 16:34:16
616,5,14835,31/12/2024 12:40:34
617,6,16258,19/10/2022 02:05:04
618,11,9596,19/5/2025 17:04:36
619,11,3431,15/5/2022 09:42:22
620,11,8786,25/10/2024 09:17:53
621,10,15061,19/8/2024 04:27:53
622,11,5857,2/1/2024 14:17:04
623,7,12278,14/4/2025 00:49:48
624,6,15881,24/6/2023 01:33:24
625,10,11820,14/3/2025 15:47:57
626,5,6883,18/4/2025 15:02:19
627,9,16234,26/10/2022 06:16:40
628,3,5648,24/2/2022 04:41:09
629,9,8777,6/3/2024 21:16:17
630,4,3029,15/2/2023 08:00:01
631,8,3492,28/8/2023 23:20:05
632,3,9410,11/2/2023 13:57:19
633,3,6241,26/11/2022 11:09:30
634,6,18131,19/4/2022 17:54:16
635,7,8907,15/2/2022 07:15:54
636,6,12447,12/8/2023 22:52:02
637,9,12336,18/2/2025 11:06:57
638,6,3299,11/9/2025 11:02:32
639,8,10543,16/4/2024 07:54:36
640,3,11731,31/10/2025 04:38:29
641,7,9724,17/6/2022 00:44:59
642,8,4189,24/11/2024 14:28:52
643,6,10075,29/12/2022 16:13:33
644,8,7020,20/12/2025 16:50:31
645,8,13699,4/5/2025 01:41:10
646,2,6713,29/2/2024 14:21:20
647,11,1574,23/6/2024 15:43:57
648,8,14536,16/11/2024 10:30:52
649,4,11852,22/2/2024 17:47:43
650,6,12648,1/11/2024 10:37:39
651,3,11223,8/3/2025 01:33:53
652,6,8958,25/2/2022 00:09:56
653,3,6913,2/8/2025 03:36:46
654,6,3369,3/12/2022 11:05:03
655,7,18310,16/9/2023 09:15:26
656,7,19222,9/1/2022 20:30:29
657,2,8630,28/6/2025 18:37:34
658,3,3131,23/6/2023 22:39:56
659,3,15380,22/6/2025 19:42:58
660,2,18288,10/12/2024 09:05:34
661,9,14266,8/2/2025 08:48:48
662,9,3022,24/12/2025 15:13:08
663,2,16176,11/1/2024 16:25:00
664,8,3494,9/2/2023 11:05:19
665,10,16394,18/10/2023 11:13:12
666,8,11328,15/9/2024 07:49:15
667,10,8104,4/6/2025 07:02:25
668,8,3732,5/8/2023 17:09:42
669,8,4674,20/1/2025 23:37:44
670,4,12344,1/3/2025 13:44:50
671,3,13812,15/6/2024 13:24:56
672,1,18953,1/11/2024 21:47:14
673,7,235,28/9/2024 20:46:37
674,7,12335,9/3/2024 03:52:25
675,10,16833,28/3/2023 09:09:44
676,4,18114,1/4/2024 20:38:08
677,5,3663,29/3/2022 14:03:55
678,5,6023,27/8/2023 11:14:07
679,4,7763,20/3/2025 02:23:16
680,10,8059,13/6/2023 14:09:50
681,11,16177,8/7/2023 09:54:50
682,9,1169,19/5/2025 20:51:29
683,4,16292,11/10/2023 01:50:06
684,4,14282,10/9/2023 17:25:54
685,10,17714,14/2/2025 23:16:56
686,5,665,29/6/2022 07:03:27
687,8,12097,21/12/2024 02:38:14
688,11,1102,7/10/2022 20:18:08
689,2,19303,25/10/2023 16:14:33
690,11,10316,1/12/2025 08:01:58
691,8,13412,12/4/2025 04:49:05
692,5,15391,16/6/2023 01:40:21
693,9,18691,6/4/2024 03:50:18
694,1,8146,22/7/2024 00:50:48
695,7,3576,6/12/2025 02:02:10
696,8,15213,12/8/2022 04:52:35
697,3,6750,9/1/2022 17:58:27
698,8,18668,11/10/2023 08:07:58
