IdJogoFutebol,IdEquipa1FK,IdEquipa2FK,IDEquipaVencedora,GolosEquipa1,GolosEquipa2,HorarioJogo,Localizacao,Status
12075,1849,6143,,,,24/08/2017,699 Flatbush Ave Apt 34  Brooklyn  NY 11225  United States,Accepted
12076,1835,4699,,,,19/02/2010,37F  5-2-16 Higashi Gotanda  Shinagawa-ku   Tokyo  Japan,Accepted
12077,162,3714,,,,07/10/2005,11F  2-1-2 Tenjinnomori  Nishinari Ward  Osaka  Japan,Accepted
12082,2414,6024,,,,30/07/2015,Unit 39  Oxford Eco Centre  678 Little Clarendon St  Oxford  OX1 2HU  United Kingdom,Accepted
12085,2947,3001,,,,28/11/2013,Room 39  92 Hongqiao Rd.  Xu Hui District  Shanghai  China,Accepted
12086,1292,2227,,,,22/01/2017,No.29 Main building  476 Maddox Street  London  W1S 1PU  United Kingdom,Accepted
12093,2987,4887,,,,18/12/2006,20-kai  5-2-2 Kikusui 3 Jo  Shiroishi Ward  Sapporo  Japan,Accepted
12099,2586,2900,,,,23/09/2013,44F  242 Qingshuihe 1st Rd  Luohu District  Shenzhen  China,Accepted
12104,2788,3617,,,,26/04/2007,No.15 building  803 Daxin S Rd  Daxin Shangquan  Tianhe Qu  Zhongshan  China,Accepted
12106,5619,4955,,,,01/02/2007,Rm. 19  2-5-16 Chitose  Atsuta Ward  Nagoya  Japan,Accepted
12107,3763,1277,,,,15/10/2011,529 Pedway 3rd Floor  Chicago  IL 60601  United States,Accepted
12109,5083,5930,,,,16/09/2009,Rm. 9  5-2-10 Kikusui 3 Jo  Shiroishi Ward  Sapporo  Japan,Accepted
12116,4859,1508,,,,17/01/2014,48-kai  1-5-2  Higashi-Shimbashi  Minato-ku  Tokyo  Japan,Accepted
12121,5398,984,,,,15/12/2018,Room 10  CR Building  708 Ganlan Rd  Pudong  Shanghai  China,Accepted
12126,3627,1279,,,,19/02/2010,Block 39  854 Narborough Rd  Leicester  LE3 2FT  United Kingdom,Accepted
12127,605,4532,,,,10/01/2022,37F  1-7-17 Saidaiji Akodacho  Nara  Japan,Accepted
12128,3446,1600,,,,19/12/2018,276 East Cooke Road Suite 12  Columbus  GA 43214  United States,Accepted
12130,1902,748,,,,12/10/2010,Rm. 34  2-1-4 Tenjinnomori  Nishinari Ward  Osaka  Japan,Accepted
12133,1523,5929,,,,22/03/2013,618 Canal Street Suite 46  New York  NY 10013  United States,Accepted
12134,4633,3348,,,,15/09/2019,Block 29  519 49/50 Strand  Charing Cross  Liverpool  WC2N 5LH  United Kingdom,Accepted
12137,5189,3557,,,,10/10/2002,925 State Street Apartment 16  Albany  NY 12203  United States,Accepted
12139,3774,3155,,,,12/09/2009,No.38 Main building  201 Portland St  Manchester  M1 3LA  United Kingdom,Accepted
12145,5159,3470,,,,18/04/2019,578 Alameda Street Apt 14  Los Angeles  CA 90002  United States,Accepted
12150,2369,2002,,,,20/12/2008,32-kai  3-19-7 Shimizu  Kita Ward  Nagoya  Japan,Accepted
12158,6108,3300,,,,09/10/2010,Unit 31  Oxford Eco Centre  301 Hinckley Rd  Leicester  LE3 6FR  United Kingdom,Accepted
12160,2904,3262,,,,29/03/2001,37F  2-3-17 Yoyogi  Shibuya-ku  Tokyo  Japan,Accepted
12161,4145,3618,,,,27/06/2013,Room 8  359 Kengmei 15th Alley  Dongguan  China,Accepted
12163,2533,4958,,,,28/01/2009,4F  2-1-3 Tenjinnomori  Nishinari Ward  Osaka  Japan,Accepted
12164,5644,1555,,,,14/07/2018,Block 22  451 Pollen Street  London  W1S 1NG  United Kingdom,Accepted
12165,849,875,,,,20/10/2005,No.12 building  374 Tangyuan Street 5th Alley  Airport Road  Baiyun  Guangzhou  China,Accepted
12166,5668,4092,,,,09/01/2000,25F  334 West Chang'an Avenue  Xicheng District  Beijing  China,Accepted
12176,1422,3216,,,,29/08/2014,554 Wicklow Road Apartment 44  Columbus  GA 43204  United States,Accepted
12178,1860,4910,,,,26/01/2016,Rm. 46  2-3-19 Yoyogi  Shibuya-ku  Tokyo  Japan,Accepted
12183,1466,359,,,,31/08/2021,Room 2  No. 14  Shuangqing Rd  Chenghua District  Chengdu  China,Accepted
12190,3555,4050,,,,16/06/2017,Room 10  981 Tangyuan Street 5th Alley  Airport Road  Baiyun  Guangzhou  China,Accepted
12196,5856,4062,,,,25/10/2000,Unit 17  Oxford Eco Centre  986 Mosley St  Manchester  M2 3AQ  United Kingdom,Accepted
12198,5988,493,,,,11/02/2010,795 State Street Apartment 48  Albany  NY 12203  United States,Accepted
12199,3350,152,,,,03/09/2017,Room 23  CR Building  556 Huanqu South Street 2nd Alley  Dongguan  China,Accepted
12200,4284,3361,,,,06/01/2015,Block 49  818 Sackville St  Manchester  M1 3BB  United Kingdom,Accepted
12202,510,4514,,,,05/04/2021,Room 35  577 Hongqiao Rd.  Xu Hui District  Shanghai  China,Accepted
12204,2207,5937,,,,06/10/2012,Block 2  399 Whitehouse Lane  Huntingdon Rd  Cambridge  CB3 0LX  United Kingdom,Accepted
12209,3760,3859,,,,29/07/2002,602 Tremont Road 3rd Floor  Columbus  GA 43212  United States,Accepted
12216,4684,893,,,,19/05/2000,673 Bank Street Apartment 18  New York  NY 10014  United States,Accepted
12220,4406,4985,,,,10/10/2005,Block 30  866 The Pavilion  Lammas Field  Driftway  Cambridge  CB3 9PA  United Kingdom,Accepted
12221,4118,651,,,,21/01/2010,45F  2-1-18 Kaminopporo 1 Jo  Atsubetsu Ward  Sapporo  Japan,Accepted
12229,167,861,,,,03/01/2011,Room 11  CR Building  954 Shanhu Rd  Dongguan  China,Accepted
12231,407,1660,,,,20/08/2009,555 Diplomacy Drive Apartment 16  Columbus  GA 43228  United States,Accepted
12232,1841,1518,,,,08/04/2009,162 Nostrand Ave 3rd Floor  Brooklyn  NY 11216  United States,Accepted
12234,2264,3457,,,,20/05/2018,897 Lark Street Apartment 50  Albany  NY 12210  United States,Accepted
12235,4635,1099,,,,22/10/2015,Rm. 12  1-7-12 Saidaiji Akodacho  Nara  Japan,Accepted
12237,4662,4315,,,,07/12/2017,19-kai  5-2-19 Higashi Gotanda  Shinagawa-ku   Tokyo  Japan,Accepted
12240,2436,311,,,,18/05/2017,Flat 32  438 Redfern St  Liverpool  L20 8JB  United Kingdom,Accepted
12242,2768,5882,,,,15/08/2006,No.34 building  709 Kengmei 15th Alley  Dongguan  China,Accepted
12244,2177,1960,,,,19/05/2007,454 Nostrand Ave 3rd Floor  Brooklyn  NY 11216  United States,Accepted
12245,3832,2155,,,,03/03/2007,346 State Street Suite 38  Albany  NY 12203  United States,Accepted
12246,1791,2870,,,,06/10/2014,Rm. 2  5-4-9 Kikusui 3 Jo  Shiroishi Ward   Sapporo  Japan,Accepted
12248,5127,4987,,,,05/03/2002,46-kai  3-27-16 Higashitanabe  Higashisumiyoshi Ward  Osaka  Japan,Accepted
12250,3500,1796,,,,23/12/2010,No.32 building  58 Daxin S Rd  Daxin Shangquan  Tianhe Qu  Zhongshan  China,Accepted
12252,3050,3580,,,,31/08/2009,Room 38  679 Daxin S Rd  Daxin Shangquan  Tianhe Qu  Zhongshan  China,Accepted
12253,5833,1041,,,,24/08/2011,216 Wicklow Road Apartment 30  Columbus  GA 43204  United States,Accepted
12256,6088,2032,,,,23/01/2014,46-kai  7 1-1715 Sekohigashi  Moriyama Ward  Nagoya  Japan,Accepted
12257,1461,911,,,,14/12/2013,No.50 Main building  395 Lower Temple Street  Birmingham  B2 4JD  United Kingdom,Accepted
12258,2081,1129,,,,20/10/2016,Flat 36  492 Trafalgar Square  Charing Cross  Liverpool  WC2N 4JJ  United Kingdom,Accepted
12264,3304,3412,,,,10/01/2012,Room 47  607 Jiangnan West Road  Haizhu District  Guangzhou  China,Accepted
12267,1753,3046,,,,22/12/2002,399 Nostrand Ave Apt 8  Brooklyn  NY 11216  United States,Accepted
12268,1771,2410,,,,24/08/2013,10F  165 W Ring Rd  Buji Town  Longgang  Shenzhen  China,Accepted
12270,512,1606,,,,13/07/2014,No.22 building  9 Zhongshan 5th Rd  Zimaling Shangquan  Zhongshan  China,Accepted
12273,871,488,,,,06/07/2004,8-kai  3-19-13 Shimizu  Kita Ward  Nagoya  Japan,Accepted
12277,3923,1113,,,,08/02/2017,9-kai  1-5-16  Higashi-Shimbashi  Minato-ku  Tokyo  Japan,Accepted
12279,5366,1977,,,,13/02/2001,No.43 building  828 Tangyuan Street 5th Alley  Airport Road  Baiyun  Guangzhou  China,Accepted
12280,3267,895,,,,16/02/2004,155 Wicklow Road Apartment 40  Columbus  GA 43204  United States,Accepted
12282,275,3099,,,,01/10/2018,162 Rush Street 3rd Floor  Chicago  IL 60611  United States,Accepted
12285,556,3992,,,,07/10/2001,987 Wooster Street Apt 12  New York  NY 10012  United States,Accepted
12288,5507,4616,,,,14/06/2001,Block 35  65 Park End St  Oxford  OX1 1JD  United Kingdom,Accepted
12289,3303,3351,,,,04/07/2020,34F  1-5-8  Higashi-Shimbashi  Minato-ku  Tokyo  Japan,Accepted
12292,6061,2758,,,,26/04/2019,Rm. 31  5-2-12 Higashi Gotanda  Shinagawa-ku   Tokyo  Japan,Accepted
12293,2184,5444,,,,14/09/2014,15F  943 Kengmei 15th Alley  Dongguan  China,Accepted
12294,4610,2445,,,,12/07/2006,Unit 25  Oxford Eco Centre  348 Mosley St  Manchester  M2 3AQ  United Kingdom,Accepted
12295,4577,16,,,,07/04/2003,35F  190 Qingshuihe 1st Rd  Luohu District  Shenzhen  China,Accepted
12300,5873,4421,,,,11/02/2014,Room 29  325 Jingtian East 1st St  Futian District  Shenzhen  China,Accepted
12303,5612,4086,,,,16/09/2004,Unit 48  Oxford Eco Centre  8 Whitehouse Lane  Huntingdon Rd  Cambridge  CB3 0LX  United Kingdom,Accepted
12304,5682,5894,,,,12/12/2010,Rm. 21  2-5-17 Chitose  Atsuta Ward  Nagoya  Japan,Accepted
12305,5005,4798,,,,12/07/2013,988 Wicklow Road Apartment 46  Columbus  GA 43204  United States,Accepted
12308,1893,2872,,,,03/02/2012,Room 35  CR Building  121 68 Qinghe Middle St  Haidian District  Beijing  China,Accepted
12309,173,2089,,,,02/12/2010,Flat 33  166 New Street  Birmingham  B2 4DB  United Kingdom,Accepted
12312,6006,131,,,,13/01/2005,Block 35  94 Hanover St  Liverpool  L1 4AF  United Kingdom,Accepted
12313,4944,2402,,,,02/03/2000,Rm. 28  1-6-4  Marunouchi  Chiyoda-ku  Tokyo  Japan,Accepted
12314,3017,4684,,,,24/05/2022,Rm. 26  3-9-19 Gakuenminami  Nara  Japan,Accepted
12321,4943,2681,,,,26/04/2018,777 Pedway Apartment 41  Chicago  IL 60601  United States,Accepted
12324,4807,4978,,,,15/01/2017,Block 33  730 Narborough Rd  Leicester  LE3 2FT  United Kingdom,Accepted
12325,503,611,,,,05/02/2013,Block 4  333 Papworth Rd  Trumpington  Cambridge  CB2 0AY  United Kingdom,Accepted
12327,1842,3315,,,,26/04/2021,Block 36  860 Edward Ave  Braunstone Town  Leicester  LE3 2PD  United Kingdom,Accepted
12333,1039,5668,,,,14/02/2011,Unit 17  Oxford Eco Centre  781 Portland St  Manchester  M1 3LA  United Kingdom,Accepted
12334,2155,64,,,,10/03/2014,43F  851 Dong Zhi Men  Dongcheng District  Beijing  China,Accepted
12335,4195,2066,,,,26/10/2012,504 Wooster Street 3rd Floor  New York  NY 10012  United States,Accepted
12337,2574,5090,,,,16/08/2012,123 West Market Street Suite 30  Akron  OH 44333  United States,Accepted
12351,1591,6121,,,,08/03/2002,599 Columbia St Apt 43  Brooklyn  NY 11231  United States,Accepted
12359,3728,2246,,,,13/10/2002,No.22 building  No. 918  Shuangqing Rd  Chenghua District  Chengdu  China,Accepted
12360,3135,2331,,,,22/07/2014,No.30 building  895 Huaxia St  Jinghua Shangquan  Zhongshan  China,Accepted
12361,671,1871,,,,28/12/2000,Unit 2  Oxford Eco Centre  217 Hanover St  Liverpool  L1 4AF  United Kingdom,Accepted
12364,257,4838,,,,15/06/2022,No.8 Main building  816 Elms Rd  Botley  Oxford  OX2 9JS  United Kingdom,Accepted
12365,4888,269,,,,01/07/2018,No.30 Main building  937 Cyril St  Braunstone Town  Leicester  LE3 2FF  United Kingdom,Accepted
12368,6078,3333,,,,09/09/2020,Block 25  279 New Street  Birmingham  B2 4DB  United Kingdom,Accepted
12372,3245,4477,,,,12/11/2001,No.19 Main building  270 Narborough Rd  Leicester  LE3 2FT  United Kingdom,Accepted
12373,3156,5785,,,,02/09/2005,19F  3-19-7 Shimizu  Kita Ward  Nagoya  Japan,Accepted
12375,4865,1565,,,,20/08/2019,825 East Alley Suite 6  Columbus  GA 43201  United States,Accepted
12377,6199,5238,,,,04/05/2009,23 S Broadway Apartment 35  Los Angeles  CA 90015  United States,Accepted
12382,804,6231,,,,26/09/2007,100 1st Ave Apartment 28  Brooklyn  NY 11220  United States,Accepted
12383,5500,1733,,,,08/11/2017,44-kai  2-5-14 Chitose  Atsuta Ward  Nagoya  Japan,Accepted
12386,2644,277,,,,13/05/2016,No.16 building  427 Middle Huaihai Road  Huangpu District  Shanghai  China,Accepted
12389,5222,1576,,,,28/09/2010,Block 33  216 39 William IV St  Charing Cross  Liverpool  WC2N 4DD  United Kingdom,Accepted
12390,725,199,,,,19/06/2004,No.6 building  124 Shennan E Rd  Cai Wu Wei  Luohu District  Shenzhen  China,Accepted
12391,2752,1440,,,,11/07/2014,Rm. 34  2-5-2 Chitose  Atsuta Ward  Nagoya  Japan,Accepted
12393,1396,5517,,,,30/08/2012,33F  158 Xiaoping E Rd  Baiyun   Guangzhou  China,Accepted
12396,3286,6163,,,,11/09/2015,205 Broadway Suite 37  Albany  NY 12207  United States,Accepted
12400,1437,6083,,,,14/11/2022,8-kai  2-1-14 Tenjinnomori  Nishinari Ward  Osaka  Japan,Accepted
12406,1154,1875,,,,16/08/2001,No.7 building  3 W Ring Rd  Buji Town  Longgang  Shenzhen  China,Accepted
12408,2060,2944,,,,21/10/2009,18-kai  5-19-14 Shinei 4 Jo  Kiyota Ward  Sapporo  Japan,Accepted
12411,1187,669,,,,26/01/2006,Rm. 21  1-7-2 Omido  Higashiosaka  Osaka  Japan,Accepted
12414,4010,4581,,,,30/08/2005,No.38 Main building  933 Lodge Ln  Toxteth  Liverpool  L8 0SP  United Kingdom,Accepted
12417,1546,1952,,,,19/08/2014,40F  503 Tianbei 1st Rd  Luohu District  Shenzhen  China,Accepted
12422,3128,223,,,,06/08/2002,25-kai  5-4-14 Kikusui 3 Jo  Shiroishi Ward   Sapporo  Japan,Accepted
12424,1766,1055,,,,07/04/2015,No.1 Main building  81 Whitehouse Lane  Huntingdon Rd  Cambridge  CB3 0LX  United Kingdom,Accepted
12426,3253,3524,,,,16/09/2014,558 Figueroa Street Apt 17  Los Angeles  CA 90037  United States,Accepted
12427,1238,3556,,,,14/12/2020,11F  139 Dongtai 5th St  Dongguan  China,Accepted
12429,2005,1396,,,,01/11/2009,Room 35  CR Building  743 028 County Rd  Yanqing District  Beijing  China,Accepted
12431,4524,4621,,,,01/12/2006,28-kai  5-2-19 Kikusui 3 Jo  Shiroishi Ward  Sapporo  Japan,Accepted
12435,1393,3402,,,,16/03/2013,16F  5-2-7 Kikusui 3 Jo  Shiroishi Ward  Sapporo  Japan,Accepted
12440,2112,5496,,,,27/04/2004,Flat 15  499 Lower Temple Street  Birmingham  B2 4JD  United Kingdom,Accepted
12443,1320,4363,,,,21/07/2005,47F  17 1-1715 Sekohigashi  Moriyama Ward  Nagoya  Japan,Accepted
12444,6063,4932,,,,25/05/2019,Flat 25  917 Wyngate Dr  Leicester  LE3 0UW  United Kingdom,Accepted
12445,4508,5120,,,,12/10/2002,15-kai  3-27-6 Higashitanabe  Higashisumiyoshi Ward  Osaka  Japan,Accepted
12446,754,6004,,,,12/12/2013,47-kai  2-3-9 Yoyogi  Shibuya-ku  Tokyo  Japan,Accepted
12448,2964,1113,,,,02/10/2009,No.40 Main building  417 Hanover St  Liverpool  L1 4AF  United Kingdom,Accepted
12452,475,1712,,,,07/09/2006,No.49 building  717 Dongtai 5th St  Dongguan  China,Accepted
12455,4706,3093,,,,18/05/2015,Room 39  CR Building  479 2nd Zhongshan Road  Yuexiu District  Guangzhou  China,Accepted
12457,3108,2848,,,,05/01/2019,Rm. 16  5-2-4 Kikusui 3 Jo  Shiroishi Ward  Sapporo  Japan,Accepted
12458,1538,1070,,,,05/12/2002,20-kai  1-7-7 Saidaiji Akodacho  Nara  Japan,Accepted
12464,4314,4329,,,,29/04/2014,No.33 building  371 3rd Section Hongxing Road  Jinjiang District  Chengdu  China,Accepted
12467,2283,2232,,,,12/05/2013,Block 33  354 Abingdon Rd  Cumnor  Oxford  OX2 9QN  United Kingdom,Accepted
12473,574,1753,,,,15/07/2006,11-kai  1-1-5 Deshiro  Nishinari Ward  Osaka  Japan,Accepted
12474,819,6184,,,,12/11/2020,Room 5  418 Kengmei 15th Alley  Dongguan  China,Accepted
12475,2228,4807,,,,24/09/2012,No.39 building  205 Dong Zhi Men  Dongcheng District  Beijing  China,Accepted
12484,2385,2514,,,,01/09/2003,No.42 Main building  26 Park End St  Oxford  OX1 1JD  United Kingdom,Accepted
12485,5180,1510,,,,20/12/2012,No.24 building  685 Hongqiao Rd.  Xu Hui District  Shanghai  China,Accepted
12491,1079,2407,,,,24/03/2017,520 Nostrand Ave 3rd Floor  Brooklyn  NY 11216  United States,Accepted
12493,4060,1058,,,,01/03/2016,Room 41  CR Building  977 Kengmei 15th Alley  Dongguan  China,Accepted
12494,6107,3247,,,,14/08/2019,No.2 Main building  251 Mosley St  Manchester  M2 3AQ  United Kingdom,Accepted
12498,3218,3232,,,,07/12/2010,Room 50  565 Zhongshan 5th Rd  Zimaling Shangquan  Zhongshan  China,Accepted
12499,5144,2374,,,,25/02/2011,44 State Street 3rd Floor  Albany  NY 12203  United States,Accepted
12504,5102,4173,,,,25/05/2007,Block 8  446 Spring Gardens  Manchester  M2 2BQ  United Kingdom,Accepted
12505,3160,4187,,,,16/06/2003,No.34 building  348 Huaxia St  Jinghua Shangquan  Zhongshan  China,Accepted
12506,3752,2085,,,,20/05/2004,Room 14  CR Building  980 Dong Zhi Men  Dongcheng District  Beijing  China,Accepted
12509,4857,5498,,,,14/09/2005,Unit 28  Oxford Eco Centre  624 Hanover St  Liverpool  L1 4AF  United Kingdom,Accepted
12514,5293,4198,,,,16/09/2011,878 Sky Way Apt 20  Los Angeles  CA 90043  United States,Accepted
12517,2821,510,,,,07/02/2014,Unit 40  Oxford Eco Centre  755 Lodge Ln  Toxteth  Liverpool  L8 0SP  United Kingdom,Accepted
12519,5508,4046,,,,27/05/2014,No.35 building  463 FuXingMenNei Street  XiCheng District  Beijing  China,Accepted
12521,2146,5228,,,,07/04/2012,453 Bergen St Apt 43  Brooklyn  NY 11217  United States,Accepted
12525,1665,682,,,,16/07/2007,Unit 27  Oxford Eco Centre  355 Maddox Street  London  W1S 1PU  United Kingdom,Accepted
12528,243,4622,,,,24/12/2009,Flat 26  902 Park End St  Oxford  OX1 1JD  United Kingdom,Accepted
12529,1428,201,,,,11/01/2004,3-kai  1-1-17 Deshiro  Nishinari Ward  Osaka  Japan,Accepted
12541,6132,3086,,,,26/02/2001,Room 48  833 Jingtian East 1st St  Futian District  Shenzhen  China,Accepted
12545,5528,2363,,,,09/09/2020,Flat 1  443 Stephenson Street  Birmingham  B2 4BL  United Kingdom,Accepted
12547,6136,2093,,,,15/06/2009,Room 48  557 Jianxiang Rd  Pudong  Shanghai  China,Accepted
12550,2659,3480,,,,20/01/2011,831 Collier Road 3rd Floor  Akron  OH 44320  United States,Accepted
12552,4614,846,,,,03/05/2019,838 Pedway Apartment 29  Chicago  IL 60601  United States,Accepted
12553,691,6226,,,,30/12/2017,Block 28  234 Hanover St  Liverpool  L1 4AF  United Kingdom,Accepted
12561,1545,4904,,,,13/09/2005,877 Sky Way 3rd Floor  Los Angeles  CA 90043  United States,Accepted
12565,1104,3765,,,,21/03/2007,No.35 building  918 028 County Rd  Yanqing District  Beijing  China,Accepted
12568,4539,1688,,,,23/06/2013,624 Alameda Street Suite 47  Los Angeles  CA 90002  United States,Accepted
12569,1524,740,,,,21/11/2018,145 East Cooke Road 3rd Floor  Columbus  GA 43214  United States,Accepted
12573,4556,1157,,,,04/10/2001,913 Flatbush Ave Apt 15  Brooklyn  NY 11225  United States,Accepted
12575,1652,2674,,,,27/09/2007,No.10 building  271 Jianxiang Rd  Pudong  Shanghai  China,Accepted
12578,4345,1623,,,,09/03/2005,Flat 16  890 Papworth Rd  Trumpington  Cambridge  CB2 0AY  United Kingdom,Accepted
12580,5802,5407,,,,16/03/2015,Unit 44  Oxford Eco Centre  641 Spring Gardens  Manchester  M2 2BQ  United Kingdom,Accepted
12583,3911,1638,,,,04/11/2017,23F  344 Hongqiao Rd.  Xu Hui District  Shanghai  China,Accepted
12585,997,2836,,,,17/03/2005,24F  1-6-20  Marunouchi  Chiyoda-ku  Tokyo  Japan,Accepted
12587,2428,4103,,,,05/07/2016,No.15 building  887 Tianbei 1st Rd  Luohu District  Shenzhen  China,Accepted
12592,2426,1060,,,,16/08/2021,Flat 4  308 Little Clarendon St  Oxford  OX1 2HU  United Kingdom,Accepted
12594,5375,4532,,,,15/09/2008,917 Pedway 3rd Floor  Chicago  IL 60601  United States,Accepted
12595,3270,1478,,,,22/08/2009,848 East Cooke Road Suite 45  Columbus  GA 43214  United States,Accepted
12597,623,1802,,,,21/04/2011,Room 6  928 Yueliu Rd  Fangshan District  Beijing  China,Accepted
12598,1682,3982,,,,01/11/2003,21F  3-19-4 Shimizu  Kita Ward  Nagoya  Japan,Accepted
12604,540,654,,,,07/08/2009,Rm. 11  5-2-9 Higashi Gotanda  Shinagawa-ku   Tokyo  Japan,Accepted
12607,2182,355,,,,22/07/2007,Room 13  CR Building  438 Huanqu South Street 2nd Alley  Dongguan  China,Accepted
12609,4017,700,,,,06/02/2006,No.25 building  660 Lefeng 6th Rd  Zhongshan  China,Accepted
12610,5096,4714,,,,10/08/2019,No.16 Main building  720 Abingdon Rd  Cumnor  Oxford  OX2 9QN  United Kingdom,Accepted
12612,1501,2750,,,,31/10/2016,No.35 building  462 Lefeng 6th Rd  Zhongshan  China,Accepted
12615,4334,4410,,,,03/06/2022,185 Alameda Street 3rd Floor  Los Angeles  CA 90002  United States,Accepted
12616,5374,2859,,,,12/09/2018,859 Wooster Street Suite 7  New York  NY 10012  United States,Accepted
12619,698,1044,,,,23/02/2000,32F  35 Shennan E Rd  Cai Wu Wei  Luohu District  Shenzhen  China,Accepted
12632,5805,5754,,,,28/11/2019,No.16 Main building  635 Papworth Rd  Trumpington  Cambridge  CB2 0AY  United Kingdom,Accepted
12634,4059,4068,,,,28/02/2014,49F  2-1-12 Kaminopporo 1 Jo  Atsubetsu Ward  Sapporo  Japan,Accepted
12643,5130,3007,,,,23/04/2012,No.42 building  179 Middle Huaihai Road  Huangpu District  Shanghai  China,Accepted
12645,5760,6125,,,,12/04/2008,Rm. 17  3-9-14 Gakuenminami  Nara  Japan,Accepted
12646,3680,4797,,,,04/09/2001,814 Central Avenue Apartment 17  Albany  NY 12205  United States,Accepted
12649,4828,2092,,,,21/08/2012,Flat 29  333 Stephenson Street  Birmingham  B2 4BL  United Kingdom,Accepted
12657,2521,3535,,,,10/02/2001,924 Broadway Suite 16  Albany  NY 12207  United States,Accepted
12662,1210,1810,,,,15/04/2007,No.17 building  99 Jingtian East 1st St  Futian District  Shenzhen  China,Accepted
12665,903,4762,,,,13/01/2016,34F  4-9-6 Kamihigashi  Hirano Ward  Osaka  Japan,Accepted
12666,4922,6028,,,,18/04/2001,24F  20 3-803 Kusunokiajima  Kita Ward  Nagoya  Japan,Accepted
12667,2907,2814,,,,13/01/2018,665 1st Ave Suite 39  Brooklyn  NY 11220  United States,Accepted
12669,2811,4447,,,,24/11/2015,34-kai  6-1-1  Miyanomori 4 Jo  Chuo Ward  Sapporo  Japan,Accepted
12670,5778,836,,,,01/09/2018,Room 29  CR Building  23 Daxin S Rd  Daxin Shangquan  Tianhe Qu  Zhongshan  China,Accepted
12671,3068,4664,,,,10/01/2001,30F  651 Qingshuihe 1st Rd  Luohu District  Shenzhen  China,Accepted
12673,801,2327,,,,01/03/2014,15-kai  9 1-1715 Sekohigashi  Moriyama Ward  Nagoya  Japan,Accepted
12676,2727,1353,,,,30/09/2012,237 Central Avenue 3rd Floor  Albany  NY 12206  United States,Accepted
12678,1394,4421,,,,03/10/2004,250 Broadway 3rd Floor  Albany  NY 12207  United States,Accepted
12680,613,294,,,,27/11/2019,Flat 31  818 Lower Temple Street  Birmingham  B2 4JD  United Kingdom,Accepted
