IdEquipa,NomeEquipa,DataCriacao,IdUtilizadorCapitaoFK
49,Ganzhou FC,16/8/2024 00:00:00,4258
50,Tongshan FC,26/3/2022 00:00:00,7909
51,Kuala Lumpur FC,27/7/2022 00:00:00,1407
52,Chicago FC,1/4/2024 00:00:00,19133
53,Heze FC,13/8/2025 00:00:00,8832
54,Chongqing FC,31/1/2025 00:00:00,18383
55,Hanoi FC,22/10/2023 00:00:00,5107
56,Fuyang FC,22/2/2023 00:00:00,11448
57,Changsha FC,28/8/2022 00:00:00,17726
58,Dongguan FC,2/10/2023 00:00:00,14936
59,Jining FC,10/6/2023 00:00:00,5015
60,Jinan FC,16/11/2022 00:00:00,10992
61,Pune FC,30/5/2022 00:00:00,19111
62,Foshan FC,11/7/2024 00:00:00,18350
63,Bogotá FC,9/10/2024 00:00:00,14639
64,Ahmedabad FC,18/3/2025 00:00:00,3916
65,Nanjing FC,3/11/2022 00:00:00,5939
66,Changchun FC,18/2/2024 00:00:00,18375
67,Tangshan FC,21/3/2024 00:00:00,6115
68,Cangzhou FC,28/6/2023 00:00:00,16092
69,Dar es Salaam FC,23/1/2025 00:00:00,13806
70,Hefei FC,1/6/2025 00:00:00,11668
71,Hong Kong FC,18/9/2022 00:00:00,12140
72,Shaoyang FC,25/12/2025 00:00:00,6878
73,Zhanjiang FC,20/8/2025 00:00:00,18190
74,Shangqiu FC,25/7/2024 00:00:00,8000
75,Nantong FC,1/8/2022 00:00:00,12160
76,Yancheng FC,13/11/2025 00:00:00,11461
77,Nanning FC,28/12/2022 00:00:00,16659
78,Hengyang FC,20/10/2024 00:00:00,11861
79,Zhumadian FC,30/5/2022 00:00:00,15498
80,Shenyang FC,7/9/2022 00:00:00,6891
81,Xingtai FC,5/2/2024 00:00:00,16832
82,Xi’an FC,25/5/2023 00:00:00,19018
83,Santiago FC,4/4/2024 00:00:00,18333
84,Yantai FC,19/12/2022 00:00:00,6474
85,Riyadh FC,6/4/2024 00:00:00,152
86,Luoyang FC,21/11/2025 00:00:00,2009
87,Kunming FC,8/2/2022 00:00:00,4316
88,Shangrao FC,18/3/2023 00:00:00,18030
89,Hangzhou FC,8/1/2023 00:00:00,9066
90,Bijie FC,20/11/2022 00:00:00,17530
91,Quanzhou FC,17/11/2023 00:00:00,12910
92,Miami FC,29/3/2022 00:00:00,15041
93,Wuxi FC,22/5/2025 00:00:00,18574
94,Huanggang FC,1/1/2023 00:00:00,18635
95,Maoming FC,16/6/2025 00:00:00,3003
96,Nanchong FC,31/10/2023 00:00:00,2081
97,Zunyi FC,9/11/2023 00:00:00,2265
98,Qujing FC,29/4/2023 00:00:00,703
99,Baghdad FC,8/12/2023 00:00:00,14855
100,Xinyang FC,21/7/2024 00:00:00,4975
101,Jieyang FC,15/9/2024 00:00:00,9099
102,Khartoum FC,17/4/2023 00:00:00,160
103,Madrid FC,12/9/2023 00:00:00,11696
104,Allahabad FC,9/11/2022 00:00:00,11345
105,Yulin FC,14/5/2022 00:00:00,309
106,Changde FC,29/6/2023 00:00:00,18645
107,Liaocheng FC,4/12/2025 00:00:00,12441
108,Qingdao FC,5/8/2023 00:00:00,11790
109,Dallas FC,14/8/2023 00:00:00,9476
110,Nangandao FC,8/5/2025 00:00:00,6921
111,Xiangyang FC,10/8/2025 00:00:00,15764
112,Philadelphia FC,30/7/2023 00:00:00,12777
113,Giza FC,14/12/2023 00:00:00,2167
114,Lu’an FC,1/6/2025 00:00:00,16841
115,Zhaotong FC,17/8/2025 00:00:00,18663
116,Yichun FC,17/2/2022 00:00:00,9318
117,Dezhou FC,2/12/2025 00:00:00,19385
118,Nairobi FC,25/11/2022 00:00:00,6061
119,Nanchang FC,27/6/2022 00:00:00,14800
120,Tai’an FC,19/3/2023 00:00:00,6933
121,Dazhou FC,11/8/2024 00:00:00,16527
122,Houston FC,20/1/2022 00:00:00,14886
123,Guadalajara FC,4/3/2025 00:00:00,3595
124,Yongzhou FC,18/3/2023 00:00:00,8938
125,Atlanta FC,11/4/2022 00:00:00,13031
126,Rangoon FC,7/12/2022 00:00:00,15219
127,Toronto FC,3/8/2025 00:00:00,8266
128,Suihua FC,2/9/2024 00:00:00,12645
129,Saint Petersburg FC,6/6/2022 00:00:00,1420
130,Washington FC,12/11/2022 00:00:00,10421
131,Qiqihar FC,3/6/2022 00:00:00,19042
132,Suzhou FC,27/7/2023 00:00:00,407
133,Shantou FC,5/11/2024 00:00:00,9357
134,Weinan FC,3/2/2025 00:00:00,16042
135,Changzhou FC,10/3/2022 00:00:00,13617
136,Singapore FC,10/11/2022 00:00:00,12621
137,Fuzhou FC,17/11/2025 00:00:00,15038
138,Pudong FC,12/4/2025 00:00:00,14303
139,Belo Horizonte FC,22/9/2025 00:00:00,18785
140,Zhangzhou FC,21/6/2023 00:00:00,13723
141,Yuncheng FC,11/5/2022 00:00:00,18779
142,Suzhou FC,12/8/2023 00:00:00,19420
143,Xianyang FC,30/3/2023 00:00:00,18903
144,Guilin FC,13/5/2023 00:00:00,11440
145,Taizhou FC,13/2/2024 00:00:00,8422
146,Abidjan FC,15/8/2024 00:00:00,6858
147,Huaihua FC,25/9/2024 00:00:00,7176
148,Ji’an FC,24/1/2022 00:00:00,3662
149,Xiaoganzhan FC,1/7/2024 00:00:00,10068
150,Pingdingshan FC,29/1/2023 00:00:00,19646
151,Jiujiang FC,17/2/2025 00:00:00,10202
152,Surat FC,12/2/2025 00:00:00,11116
153,Guiyang FC,29/10/2024 00:00:00,3575
154,Alexandria FC,27/5/2022 00:00:00,14140
155,Bozhou FC,1/9/2022 00:00:00,11615
156,Sydney FC,7/9/2025 00:00:00,18922
157,Huizhou FC,17/3/2023 00:00:00,13123
158,Huai’an FC,26/5/2025 00:00:00,18621
159,Chenzhou FC,3/6/2025 00:00:00,8989
160,Barcelona FC,30/5/2023 00:00:00,12867
161,Anqing FC,2/10/2025 00:00:00,5726
162,Suqian FC,19/10/2024 00:00:00,4493
163,Boston FC,31/3/2022 00:00:00,19065
164,Jiangmen FC,19/6/2024 00:00:00,4422
165,Mianyang FC,28/6/2025 00:00:00,6736
166,Harbin FC,4/5/2025 00:00:00,12226
167,Huanglongsi FC,16/12/2024 00:00:00,6181
168,Melbourne FC,3/8/2025 00:00:00,2899
169,Zibo FC,15/2/2024 00:00:00,14787
170,Dalian FC,14/10/2024 00:00:00,1106
171,Hengshui FC,8/11/2025 00:00:00,14412
172,Yibin FC,11/3/2023 00:00:00,95
173,Yangzhou FC,10/10/2023 00:00:00,11884
174,Timbío FC,28/5/2023 00:00:00,18102
175,Johannesburg FC,24/4/2022 00:00:00,3903
176,Yiyang FC,14/4/2025 00:00:00,16077
177,Guigang FC,20/12/2023 00:00:00,5742
178,Xinpu FC,7/4/2024 00:00:00,13616
179,Meizhou FC,19/5/2023 00:00:00,13666
180,Casablanca FC,16/5/2022 00:00:00,18400
181,Langfang FC,20/3/2025 00:00:00,11396
182,Zhangjiakou FC,11/10/2025 00:00:00,18537
183,Chifeng FC,7/2/2024 00:00:00,13419
184,Linfen FC,7/2/2023 00:00:00,10493
185,Jiangguanchi FC,7/7/2024 00:00:00,5582
186,Kabul FC,14/5/2024 00:00:00,4612
187,Phoenix FC,24/10/2022 00:00:00,80
188,Luzhou FC,13/1/2022 00:00:00,7579
189,Taiyuan FC,14/5/2024 00:00:00,15665
190,Zhaoqing FC,3/5/2024 00:00:00,9197
191,Xiaoxita FC,12/7/2025 00:00:00,357
192,Xiamen FC,23/6/2023 00:00:00,9802
193,Fuzhou FC,14/8/2025 00:00:00,6201
194,Liuzhou FC,27/1/2024 00:00:00,13453
195,Zhuzhou FC,10/1/2023 00:00:00,10989
196,Amman FC,6/12/2024 00:00:00,1926
197,Jeddah FC,15/9/2023 00:00:00,15501
198,Chuzhou FC,5/1/2022 00:00:00,6051
199,Loudi FC,24/7/2024 00:00:00,8158
200,Deyang FC,24/1/2025 00:00:00,16806
201,Qingyuan FC,31/12/2023 00:00:00,10902
202,Kano FC,10/10/2025 00:00:00,2250
203,Wuhu FC,30/6/2025 00:00:00,17161
204,Seattle FC,21/6/2025 00:00:00,5581
205,Yokohama FC,4/6/2022 00:00:00,973
206,Binzhou FC,27/11/2022 00:00:00,7809
207,Baojishi FC,1/5/2022 00:00:00,4652
208,Zaozhuang FC,1/4/2024 00:00:00,16959
209,Neijiang FC,22/1/2025 00:00:00,15503
210,Baicheng FC,11/8/2025 00:00:00,2303
211,Berlin FC,14/12/2023 00:00:00,10858
212,Anshan FC,13/2/2025 00:00:00,8278
213,Lanzhou FC,30/11/2025 00:00:00,18137
214,Puyang FC,30/10/2022 00:00:00,5259
215,San Francisco FC,25/8/2024 00:00:00,13466
216,Jiaozuo FC,1/8/2022 00:00:00,11107
217,Hechi FC,27/12/2022 00:00:00,3884
218,Montréal FC,29/12/2025 00:00:00,12462
219,Detroit FC,12/11/2023 00:00:00,9610
220,Chengde FC,27/8/2023 00:00:00,228
221,Busan FC,5/10/2022 00:00:00,19433
222,Algiers FC,4/10/2023 00:00:00,18432
223,Hanzhong FC,27/11/2022 00:00:00,12676
224,Shiyan FC,22/5/2023 00:00:00,5776
225,Lucknow FC,4/6/2022 00:00:00,8449
226,Siping FC,21/1/2022 00:00:00,3998
227,Yulinshi FC,28/1/2023 00:00:00,19661
228,Changzhi FC,10/12/2024 00:00:00,662
229,Qinzhou FC,7/12/2022 00:00:00,6773
230,Bazhou FC,12/10/2025 00:00:00,3959
231,Qincheng FC,11/11/2025 00:00:00,18489
232,Zhongshan FC,23/9/2022 00:00:00,10907
233,Suining FC,17/9/2025 00:00:00,3358
234,Leshan FC,19/9/2022 00:00:00,19360
235,San Diego FC,19/5/2025 00:00:00,19443
236,Faisalabad FC,21/2/2022 00:00:00,8258
237,Guang’an FC,20/1/2022 00:00:00,12057
238,Tongren FC,20/1/2025 00:00:00,9047
239,Bengbu FC,7/1/2022 00:00:00,17165
240,Santa Cruz FC,6/12/2024 00:00:00,7268
241,Qinhuangdao FC,19/1/2025 00:00:00,9092
242,Tongliao FC,7/3/2022 00:00:00,6074
243,Jinzhou FC,17/11/2024 00:00:00,967
244,Zhenjiang FC,27/11/2022 00:00:00,19757
245,Ürümqi FC,14/5/2022 00:00:00,12528
246,Heyuan FC,15/10/2022 00:00:00,8105
247,Jaipur FC,10/8/2025 00:00:00,17391
248,Xinzhou FC,5/11/2023 00:00:00,9440
249,Wuzhou FC,12/7/2023 00:00:00,19138
250,Addis Ababa FC,18/8/2024 00:00:00,2484
251,Chaoyang FC,18/4/2025 00:00:00,16542
252,Brasília FC,5/3/2022 00:00:00,16769
253,Mashhad FC,29/8/2023 00:00:00,1383
254,Shaoguan FC,13/1/2023 00:00:00,16123
255,Kuwait City FC,11/7/2023 00:00:00,3442
256,Shanwei FC,24/6/2025 00:00:00,3103
257,Quezon City FC,2/9/2024 00:00:00,6750
258,Minneapolis FC,27/11/2024 00:00:00,10078
259,Kyiv FC,8/12/2023 00:00:00,2233
260,Sanaa FC,26/8/2023 00:00:00,8250
261,Meishan FC,6/9/2022 00:00:00,3496
262,Guatemala City FC,3/3/2023 00:00:00,584
263,Incheon FC,16/8/2022 00:00:00,63
264,Ningde FC,23/11/2024 00:00:00,12789
265,Tampa FC,24/3/2024 00:00:00,7839
266,Daqing FC,7/7/2022 00:00:00,8528
267,Putian FC,3/5/2024 00:00:00,15777
268,Bandung FC,3/10/2023 00:00:00,17861
269,Surabaya FC,15/4/2023 00:00:00,11028
270,Salvador FC,13/8/2025 00:00:00,8813
271,Denver FC,27/7/2022 00:00:00,14079
272,Rome FC,2/1/2025 00:00:00,14685
273,La Paz FC,1/10/2024 00:00:00,5637
274,Hohhot FC,25/7/2023 00:00:00,8945
275,Xiangtan FC,4/1/2024 00:00:00,16087
276,Pyongyang FC,29/9/2025 00:00:00,17449
277,Taichung FC,11/8/2025 00:00:00,1533
278,Weihai FC,25/10/2024 00:00:00,5984
279,Rizhao FC,21/5/2022 00:00:00,9496
280,Mudanjiang FC,26/6/2022 00:00:00,13231
281,Kaohsiung FC,15/7/2025 00:00:00,6182
282,Guayaquil FC,8/3/2023 00:00:00,12286
283,Tieling FC,5/8/2024 00:00:00,2078
284,Cawnpore FC,5/1/2025 00:00:00,7624
285,Dingxi FC,28/2/2024 00:00:00,10965
286,Taipei FC,19/12/2022 00:00:00,12420
287,Nanping FC,1/1/2022 00:00:00,10313
288,Zigong FC,7/11/2025 00:00:00,15470
289,Chaozhou FC,1/11/2022 00:00:00,17851
290,Baotou FC,11/5/2022 00:00:00,19041
291,Gulou FC,6/8/2025 00:00:00,6917
292,Longyan FC,15/11/2024 00:00:00,12463
293,Ankang FC,26/1/2023 00:00:00,15137
294,Baoshan FC,13/6/2022 00:00:00,12802
295,Huludao FC,5/12/2022 00:00:00,65
296,Antananarivo FC,1/10/2025 00:00:00,5834
297,Yanjiang FC,25/9/2023 00:00:00,12859
298,Chattogram FC,23/6/2022 00:00:00,4137
299,Santo Domingo FC,22/11/2023 00:00:00,15632
300,Sanming FC,15/4/2025 00:00:00,7395
301,Longba FC,6/12/2022 00:00:00,14310
302,Brooklyn FC,7/11/2025 00:00:00,7738
303,Yangjiang FC,10/6/2023 00:00:00,2331
304,Jiamusi FC,25/9/2022 00:00:00,3546
305,Ibadan FC,9/8/2023 00:00:00,15750
306,Luohe FC,21/2/2024 00:00:00,7747
307,Lincang FC,28/10/2025 00:00:00,4372
308,Medellín FC,11/2/2023 00:00:00,6577
309,Xuanzhou FC,3/8/2024 00:00:00,6389
310,Yunfu FC,23/9/2023 00:00:00,19298
311,Dubai FC,29/1/2024 00:00:00,13573
312,Mirzapur FC,13/11/2022 00:00:00,18569
313,Tashkent FC,31/7/2024 00:00:00,4307
314,Guangyuan FC,19/5/2025 00:00:00,6373
315,Cali FC,19/2/2025 00:00:00,9745
316,Huangshi FC,19/3/2022 00:00:00,17856
317,Ouagadougou FC,17/1/2024 00:00:00,4672
318,Daegu FC,7/1/2025 00:00:00,7340
319,Fortaleza FC,3/8/2024 00:00:00,10690
320,Yaoundé FC,26/1/2023 00:00:00,12060
321,Douala FC,21/3/2022 00:00:00,5162
322,Jilin FC,22/12/2024 00:00:00,14617
323,Dandong FC,29/7/2024 00:00:00,3622
324,Lianshan FC,4/1/2023 00:00:00,618
325,Yingkou FC,25/6/2023 00:00:00,2996
326,Nagpur FC,21/9/2022 00:00:00,3152
327,Omdurman FC,13/3/2025 00:00:00,15285
328,Bekasi FC,16/3/2024 00:00:00,1550
329,Ghaziabad FC,26/8/2024 00:00:00,19890
330,Yuxi FC,23/9/2024 00:00:00,3282
331,Brisbane FC,1/4/2023 00:00:00,2996
332,Anshun FC,6/6/2025 00:00:00,4450
333,Depok FC,19/6/2022 00:00:00,469
334,Shangzhou FC,21/1/2024 00:00:00,14826
335,Huainan FC,13/9/2022 00:00:00,4631
336,Kuaidamao FC,6/12/2022 00:00:00,9851
337,Accra FC,6/6/2022 00:00:00,15389
338,Fukuoka FC,18/8/2025 00:00:00,17335
339,Jincheng FC,4/12/2024 00:00:00,1070
340,Vancouver FC,2/3/2024 00:00:00,5607
341,Tangerang FC,4/7/2023 00:00:00,4956
342,Sanmenxia FC,17/2/2025 00:00:00,4573
343,Laibin FC,3/9/2024 00:00:00,3175
344,Queens FC,2/8/2023 00:00:00,8445
345,Qinbaling FC,2/3/2022 00:00:00,3438
346,Xining FC,11/4/2023 00:00:00,9558
347,Ma’anshan FC,24/6/2025 00:00:00,8538
348,Yan’an FC,10/1/2025 00:00:00,12435
349,Baku FC,25/12/2024 00:00:00,19353
350,Gaoping FC,15/7/2025 00:00:00,4426
351,Harare FC,11/2/2023 00:00:00,16105
352,Havana FC,19/3/2024 00:00:00,7504
353,Phnom Penh FC,14/11/2023 00:00:00,18449
354,Ningbo FC,8/4/2022 00:00:00,5848
355,Mogadishu FC,19/2/2025 00:00:00,19246
356,Puning FC,14/7/2025 00:00:00,6851
357,Medan FC,28/9/2025 00:00:00,1631
358,Huaibei FC,28/2/2024 00:00:00,14335
359,Qingyang FC,31/7/2025 00:00:00,14042
360,Riverside FC,18/7/2024 00:00:00,4051
361,Baltimore FC,31/12/2024 00:00:00,15718
362,Haiphong FC,23/10/2022 00:00:00,12936
363,Las Vegas FC,15/1/2024 00:00:00,6668
364,Chongzuo FC,26/2/2024 00:00:00,14691
365,Rawalpindi FC,8/9/2022 00:00:00,19357
366,Kumasi FC,9/6/2022 00:00:00,8101
367,Portland FC,24/5/2023 00:00:00,3316
368,Vadodara FC,29/12/2022 00:00:00,7159
369,Hezhou FC,13/12/2025 00:00:00,16950
370,Pingliang FC,24/7/2025 00:00:00,17876
371,San Antonio FC,20/8/2022 00:00:00,11035
372,Perth FC,26/2/2025 00:00:00,7629
373,Vishakhapatnam FC,4/3/2025 00:00:00,486
374,Shengli FC,13/7/2022 00:00:00,16561
375,Gujranwala FC,12/2/2024 00:00:00,15635
376,Baicheng FC,16/11/2023 00:00:00,10488
377,Fushun FC,15/8/2025 00:00:00,11305
378,St. Louis FC,24/12/2024 00:00:00,19281
379,Bamako FC,6/3/2022 00:00:00,12722
380,Quito FC,15/9/2025 00:00:00,10722
381,Minsk FC,5/6/2022 00:00:00,6764
382,Indore FC,5/9/2023 00:00:00,17196
383,Yinchuan FC,13/5/2023 00:00:00,13311
384,Kananga FC,15/3/2022 00:00:00,7296
385,Peshawar FC,29/4/2022 00:00:00,5323
386,Sapporo FC,9/11/2023 00:00:00,3153
387,Esfahan FC,27/12/2024 00:00:00,3644
388,Caracas FC,23/2/2025 00:00:00,1594
389,Pingxiang FC,20/3/2025 00:00:00,2530
390,Aleppo FC,24/9/2025 00:00:00,2462
391,Tijuana FC,19/6/2022 00:00:00,3983
392,Almaty FC,3/4/2023 00:00:00,2178
393,Vienna FC,3/8/2023 00:00:00,7454
394,Thane FC,23/5/2024 00:00:00,9796
395,Sacramento FC,26/7/2022 00:00:00,870
396,Blantyre FC,10/4/2022 00:00:00,19790
397,Tainan FC,15/3/2023 00:00:00,8714
398,Zhuhai FC,22/8/2025 00:00:00,8241
399,Bucharest FC,7/5/2022 00:00:00,1405
400,Curitiba FC,23/9/2023 00:00:00,18666
401,Multan FC,8/11/2023 00:00:00,1087
402,Xiping FC,29/4/2025 00:00:00,6536
403,Ecatepec FC,6/10/2022 00:00:00,10279
404,Jixi FC,17/10/2024 00:00:00,12114
405,Saidu Sharif FC,5/9/2024 00:00:00,4083
406,Liaoyang FC,8/1/2023 00:00:00,8783
407,Hamburg FC,2/4/2024 00:00:00,8704
408,Meru FC,25/7/2023 00:00:00,8674
409,Brazzaville FC,7/7/2023 00:00:00,10054
410,Orlando FC,6/7/2024 00:00:00,14105
411,Fuxin FC,15/11/2024 00:00:00,4105
412,Wuwei FC,24/9/2024 00:00:00,8851
413,Manaus FC,22/1/2023 00:00:00,19193
414,Bhopal FC,6/7/2023 00:00:00,2156
415,San Jose FC,10/11/2022 00:00:00,16869
416,Warsaw FC,28/3/2023 00:00:00,9651
417,Lubumbashi FC,18/7/2023 00:00:00,5741
418,Davao FC,28/12/2024 00:00:00,18256
419,Haikou FC,10/2/2025 00:00:00,18383
420,Damascus FC,10/4/2025 00:00:00,11210
421,Shuyangzha FC,13/6/2025 00:00:00,11365
422,Brussels FC,25/10/2024 00:00:00,8150
423,Lusaka FC,28/11/2024 00:00:00,18658
424,Hyderabad City FC,1/7/2022 00:00:00,12721
425,Budapest FC,6/6/2025 00:00:00,4657
426,Shuozhou FC,17/6/2022 00:00:00,9658
427,Cleveland FC,8/4/2023 00:00:00,8776
428,Benxi FC,19/5/2023 00:00:00,15515
429,Baiyin FC,14/2/2024 00:00:00,10008
430,Pittsburgh FC,30/11/2022 00:00:00,9580
431,Patna FC,14/11/2022 00:00:00,6055
432,Mosul FC,28/12/2025 00:00:00,14442
433,Caloocan City FC,19/12/2023 00:00:00,3717
434,Austin FC,1/7/2024 00:00:00,11311
435,Sanzhou FC,22/4/2023 00:00:00,4519
436,Beihai FC,3/8/2023 00:00:00,19614
437,Mecca FC,13/11/2024 00:00:00,19760
438,Heihe FC,8/3/2022 00:00:00,12577
439,Jingdezhen FC,13/10/2023 00:00:00,13431
440,Conakry FC,2/12/2025 00:00:00,16015
441,Kampala FC,11/1/2025 00:00:00,1029
442,Cincinnati FC,7/7/2022 00:00:00,15044
443,Recife FC,28/6/2024 00:00:00,12079
444,Yushan FC,15/9/2025 00:00:00,4269
445,Zhongli FC,8/12/2022 00:00:00,2660
446,Kansas City FC,31/1/2024 00:00:00,11121
447,Manhattan FC,18/9/2023 00:00:00,10024
448,Bilaspur FC,18/7/2023 00:00:00,4491
449,Semarang FC,10/1/2025 00:00:00,15389
450,Ludhiana FC,23/9/2024 00:00:00,19061
451,Novosibirsk FC,1/2/2025 00:00:00,10729
452,Chengtangcun FC,28/6/2024 00:00:00,12831
453,Agra FC,14/11/2025 00:00:00,15250
454,Karaj FC,30/6/2025 00:00:00,1202
455,Wenzhou FC,4/4/2025 00:00:00,7891
456,Indianapolis FC,5/11/2023 00:00:00,11215
457,León de los Aldama FC,12/11/2025 00:00:00,16141
458,Puebla FC,9/3/2024 00:00:00,18886
459,Kalyan FC,29/1/2023 00:00:00,4720
460,Madurai FC,9/4/2022 00:00:00,19677
461,Mbuji-Mayi FC,26/3/2025 00:00:00,658
462,Hebi FC,10/11/2022 00:00:00,2311
463,Shiraz FC,8/4/2025 00:00:00,4900
464,Jamshedpur FC,16/11/2022 00:00:00,15692
465,Columbus FC,12/10/2025 00:00:00,9596
466,Tabriz FC,3/10/2022 00:00:00,17297
467,Maracaibo FC,3/11/2023 00:00:00,8562
468,Kawasaki FC,1/1/2024 00:00:00,11537
469,Aba FC,30/5/2023 00:00:00,10106
470,Palembang FC,25/12/2022 00:00:00,8312
471,Zhangjiajie FC,15/8/2025 00:00:00,11549
472,Kobe FC,31/12/2022 00:00:00,15258
473,Charlotte FC,19/12/2023 00:00:00,14324
474,Changshu FC,14/4/2022 00:00:00,11302
475,Lianjiang FC,27/9/2024 00:00:00,5603
476,Ximeicun FC,12/1/2023 00:00:00,10733
477,Jianguang FC,1/8/2024 00:00:00,19540
478,Yucheng FC,26/9/2024 00:00:00,9793
479,Belém FC,22/10/2023 00:00:00,5154
480,Guiping FC,9/7/2024 00:00:00,3794
481,Leizhou FC,6/6/2022 00:00:00,14111
482,Gwangju FC,6/11/2023 00:00:00,9107
483,Munich FC,31/7/2022 00:00:00,12568
484,Nasik FC,12/5/2022 00:00:00,8675
485,Porto Alegre FC,20/3/2025 00:00:00,7086
486,Valencia FC,9/2/2022 00:00:00,14731
487,Onitsha FC,2/11/2025 00:00:00,11698
488,Abu Dhabi FC,26/12/2025 00:00:00,7030
489,Virginia Beach FC,6/3/2025 00:00:00,1653
490,Daejeon FC,24/12/2024 00:00:00,1155
491,Zapopan FC,21/11/2024 00:00:00,1971
492,Yekaterinburg FC,29/9/2024 00:00:00,4951
493,Huazhou FC,20/6/2025 00:00:00,5606
494,Kyoto FC,19/10/2024 00:00:00,8314
495,Shuangyashan FC,10/4/2022 00:00:00,7314
496,Pizhou FC,23/12/2024 00:00:00,12710
497,El Kelaa des Srarhna FC,16/5/2022 00:00:00,17926
498,Kharkiv FC,25/2/2024 00:00:00,8554
499,Yangshe FC,23/8/2025 00:00:00,7218
500,Guyuan FC,20/7/2023 00:00:00,14758
501,Khulna FC,14/7/2024 00:00:00,17828
502,Muscat FC,12/9/2022 00:00:00,11054
503,Bronx FC,19/5/2022 00:00:00,9568
504,Gaozhou FC,24/6/2023 00:00:00,11441
505,Chizhou FC,18/10/2025 00:00:00,1328
506,Faridabad FC,14/11/2025 00:00:00,7219
507,Ulaanbaatar FC,10/3/2023 00:00:00,2357
508,Goiânia FC,7/11/2025 00:00:00,8726
509,Fuqing FC,13/12/2025 00:00:00,3238
510,Belgrade FC,7/11/2024 00:00:00,10656
511,Pingdu FC,17/12/2023 00:00:00,10288
512,Milan FC,15/2/2025 00:00:00,19998
513,Aurangabad FC,19/3/2023 00:00:00,7215
514,Yutan FC,28/8/2023 00:00:00,4351
515,Milwaukee FC,7/9/2024 00:00:00,12175
516,Huangshan FC,15/4/2024 00:00:00,19892
517,Auckland FC,25/9/2023 00:00:00,12952
518,Makassar FC,13/9/2022 00:00:00,13358
519,Santiago FC,21/3/2023 00:00:00,5304
520,Prague FC,15/12/2024 00:00:00,10120
521,Rajkot FC,17/2/2024 00:00:00,11089
522,Liangshi FC,21/2/2024 00:00:00,13725
523,Córdoba FC,10/10/2022 00:00:00,2976
524,Guarulhos FC,1/6/2022 00:00:00,18226
525,Al Basrah FC,10/12/2024 00:00:00,13271
526,Saitama FC,6/5/2025 00:00:00,1557
527,Juárez FC,13/4/2022 00:00:00,3780
528,Montevideo FC,20/9/2023 00:00:00,9922
529,Xintai FC,5/5/2023 00:00:00,18193
530,Wusong FC,8/3/2023 00:00:00,9559
531,Meerut FC,18/5/2022 00:00:00,8449
532,Yushu FC,20/4/2023 00:00:00,5297
533,Rongcheng FC,13/9/2022 00:00:00,708
534,Huazhou FC,27/9/2025 00:00:00,2907
535,Yangquan FC,4/6/2022 00:00:00,10013
536,Adelaide FC,24/5/2023 00:00:00,5902
537,Baishan FC,27/8/2025 00:00:00,19255
