115;Zhaotong FC;18/01/2022;18453;|Zhaotong FC
116;Yichun FC;13/08/2023;85047;|Yichun FC
117;Dezhou FC;28/08/2022;54885;|Dezhou FC
118;Nairobi FC;24/06/2024;143592;|Nairobi FC
119;Nanchang FC;10/06/2022;62259;|Nanchang FC
120;Tai’an FC;17/07/2024;101942;|Tai’an FC
121;Dazhou FC;09/07/2023;11322;|Dazhou FC
122;Houston FC;18/01/2025;114521;|Houston FC
123;Guadalajara FC;17/03/2022;47911;|Guadalajara FC
124;Yongzhou FC;27/01/2025;70868;|Yongzhou FC
125;Atlanta FC;30/07/2023;4156;|Atlanta FC
126;Rangoon FC;27/05/2024;9285;|Rangoon FC
127;Toronto FC;30/08/2023;141092;|Toronto FC
128;Suihua FC;14/02/2025;35804;|Suihua FC
129;Saint Petersburg FC;04/06/2024;134870;|Saint Petersburg FC
130;Washington FC;07/06/2022;16918;|Washington FC
131;Qiqihar FC;29/11/2023;19357;|Qiqihar FC
132;Suzhou FC;27/08/2022;132430;|Suzhou FC
133;Shantou FC;19/09/2022;97083;|Shantou FC
134;Weinan FC;20/04/2024;68988;|Weinan FC
135;Changzhou FC;13/07/2023;118212;|Changzhou FC
136;Singapore FC;20/09/2024;90956;|Singapore FC
137;Fuzhou FC;28/05/2025;97377;|Fuzhou FC
138;Pudong FC;26/11/2024;91264;|Pudong FC
139;Belo Horizonte FC;09/07/2025;70033;|Belo Horizonte FC
140;Zhangzhou FC;08/05/2023;47718;|Zhangzhou FC
141;Yuncheng FC;02/03/2022;56313;|Yuncheng FC
142;Suzhou FC;27/04/2024;111872;|Suzhou FC
143;Xianyang FC;18/05/2023;78500;|Xianyang FC
144;Guilin FC;11/12/2024;70437;|Guilin FC
145;Taizhou FC;03/04/2023;104957;|Taizhou FC
146;Abidjan FC;24/06/2023;26046;|Abidjan FC
147;Huaihua FC;02/07/2025;87043;|Huaihua FC
148;Ji’an FC;27/09/2024;23677;|Ji’an FC
149;Xiaoganzhan FC;24/06/2025;112919;|Xiaoganzhan FC
150;Pingdingshan FC;06/08/2025;30237;|Pingdingshan FC
151;Jiujiang FC;03/08/2023;123415;|Jiujiang FC
152;S?rat FC;05/10/2022;102737;|S?rat FC
153;Guiyang FC;11/05/2025;88738;|Guiyang FC
154;Alexandria FC;23/09/2024;119680;|Alexandria FC
155;Bozhou FC;01/06/2023;6854;|Bozhou FC
156;Sydney FC;04/03/2025;34822;|Sydney FC
157;Huizhou FC;04/09/2024;120677;|Huizhou FC
158;Huai’an FC;31/12/2023;143707;|Huai’an FC
159;Chenzhou FC;15/01/2022;36845;|Chenzhou FC
160;Barcelona FC;26/06/2022;44940;|Barcelona FC
161;Anqing FC;18/12/2022;30366;|Anqing FC
162;Suqian FC;18/11/2022;90920;|Suqian FC
163;Boston FC;24/10/2025;45080;|Boston FC
164;Jiangmen FC;30/07/2023;53750;|Jiangmen FC
165;Mianyang FC;06/11/2022;143420;|Mianyang FC
166;Harbin FC;19/03/2025;143435;|Harbin FC
167;Huanglongsi FC;27/03/2025;77749;|Huanglongsi FC
168;Melbourne FC;04/04/2025;10030;|Melbourne FC
169;Zibo FC;27/12/2025;39425;|Zibo FC
170;Dalian FC;10/05/2022;114189;|Dalian FC
171;Hengshui FC;21/06/2025;124491;|Hengshui FC
172;Yibin FC;21/08/2022;132805;|Yibin FC
173;Yangzhou FC;28/10/2025;102887;|Yangzhou FC
174;Timbío FC;07/06/2022;29654;|Timbío FC
175;Johannesburg FC;13/12/2024;64021;|Johannesburg FC
176;Yiyang FC;26/11/2025;115435;|Yiyang FC
177;Guigang FC;14/11/2023;58985;|Guigang FC
178;Xinpu FC;08/04/2024;104303;|Xinpu FC
179;Meizhou FC;22/03/2023;137659;|Meizhou FC
180;Casablanca FC;20/04/2025;83987;|Casablanca FC
181;Langfang FC;21/10/2023;68597;|Langfang FC
182;Zhangjiakou FC;30/05/2024;104168;|Zhangjiakou FC
183;Chifeng FC;30/12/2022;29386;|Chifeng FC
184;Linfen FC;11/08/2025;90982;|Linfen FC
185;Jiangguanchi FC;16/03/2022;142302;|Jiangguanchi FC
186;Kabul FC;23/03/2024;17317;|Kabul FC
187;Phoenix FC;04/06/2023;10364;|Phoenix FC
188;Luzhou FC;08/07/2025;16928;|Luzhou FC
189;Taiyuan FC;10/04/2022;47251;|Taiyuan FC
190;Zhaoqing FC;07/02/2024;113083;|Zhaoqing FC
191;Xiaoxita FC;07/06/2024;76380;|Xiaoxita FC
192;Xiamen FC;20/03/2025;21006;|Xiamen FC
193;Fuzhou FC;05/09/2022;22263;|Fuzhou FC
194;Liuzhou FC;15/11/2022;104597;|Liuzhou FC
195;Zhuzhou FC;19/05/2024;117147;|Zhuzhou FC
196;Amman FC;03/05/2025;25401;|Amman FC
197;Jeddah FC;11/01/2024;146729;|Jeddah FC
198;Chuzhou FC;30/04/2022;107691;|Chuzhou FC
199;Loudi FC;03/10/2025;42055;|Loudi FC
200;Deyang FC;24/09/2024;135325;|Deyang FC
201;Qingyuan FC;01/03/2024;65769;|Qingyuan FC
202;Kano FC;04/12/2024;94689;|Kano FC
203;Wuhu FC;28/05/2024;128889;|Wuhu FC
204;Seattle FC;03/01/2025;100407;|Seattle FC
205;Yokohama FC;01/03/2025;55190;|Yokohama FC
206;Binzhou FC;29/12/2024;72030;|Binzhou FC
207;Baojishi FC;14/01/2024;111033;|Baojishi FC
208;Zaozhuang FC;23/01/2025;126587;|Zaozhuang FC
209;Neijiang FC;26/10/2022;79601;|Neijiang FC
210;Baicheng FC;25/10/2024;29971;|Baicheng FC
211;Berlin FC;17/02/2025;3733;|Berlin FC
212;Anshan FC;09/11/2024;114892;|Anshan FC
213;Lanzhou FC;09/09/2023;103599;|Lanzhou FC
214;Puyang FC;11/10/2025;71935;|Puyang FC
215;San Francisco FC;22/04/2023;58998;|San Francisco FC
216;Jiaozuo FC;23/07/2022;4829;|Jiaozuo FC
217;Hechi FC;12/05/2025;35688;|Hechi FC
218;Montréal FC;04/07/2022;103628;|Montréal FC
219;Detroit FC;06/12/2023;22662;|Detroit FC
220;Chengde FC;11/03/2023;127056;|Chengde FC
221;Busan FC;11/11/2023;31678;|Busan FC
222;Algiers FC;02/06/2025;85064;|Algiers FC
223;Hanzhong FC;15/12/2025;114769;|Hanzhong FC
224;Shiyan FC;05/02/2025;26914;|Shiyan FC
225;Lucknow FC;26/10/2023;54864;|Lucknow FC
226;Siping FC;30/04/2025;73286;|Siping FC
227;Yulinshi FC;24/11/2022;49106;|Yulinshi FC
228;Changzhi FC;13/08/2024;117552;|Changzhi FC
229;Qinzhou FC;05/10/2023;6532;|Qinzhou FC
230;Bazhou FC;06/07/2022;61604;|Bazhou FC
231;Qincheng FC;19/12/2022;65527;|Qincheng FC
232;Zhongshan FC;24/11/2024;46779;|Zhongshan FC
233;Suining FC;21/05/2022;54919;|Suining FC
234;Leshan FC;18/01/2025;63717;|Leshan FC
235;San Diego FC;01/03/2023;1435;|San Diego FC
236;Faisalabad FC;12/05/2022;1568;|Faisalabad FC
237;Guang’an FC;06/08/2023;131273;|Guang’an FC
238;Tongren FC;11/01/2024;10201;|Tongren FC
239;Bengbu FC;22/03/2025;108816;|Bengbu FC
240;Santa Cruz FC;21/01/2025;4561;|Santa Cruz FC
241;Qinhuangdao FC;27/08/2025;112654;|Qinhuangdao FC
242;Tongliao FC;11/06/2022;76738;|Tongliao FC
243;Jinzhou FC;09/05/2023;1449;|Jinzhou FC
244;Zhenjiang FC;01/12/2023;82667;|Zhenjiang FC
245;Ürümqi FC;17/11/2025;74551;|Ürümqi FC
246;Heyuan FC;30/06/2022;78726;|Heyuan FC
247;Jaipur FC;08/09/2024;1820;|Jaipur FC
248;Xinzhou FC;17/11/2024;137521;|Xinzhou FC
249;Wuzhou FC;14/10/2022;125820;|Wuzhou FC
250;Addis Ababa FC;18/03/2022;69509;|Addis Ababa FC
251;Chaoyang FC;08/08/2023;92312;|Chaoyang FC
252;Brasília FC;05/02/2023;140643;|Brasília FC
253;Mashhad FC;22/10/2025;48689;|Mashhad FC
254;Shaoguan FC;26/10/2023;49598;|Shaoguan FC
255;Kuwait City FC;30/04/2025;113103;|Kuwait City FC
256;Shanwei FC;26/06/2022;49779;|Shanwei FC
257;Quezon City FC;09/01/2022;31575;|Quezon City FC
258;Minneapolis FC;30/01/2024;42007;|Minneapolis FC
259;Kyiv FC;15/12/2022;86335;|Kyiv FC
260;Sanaa FC;28/03/2022;45403;|Sanaa FC
261;Meishan FC;23/04/2022;51961;|Meishan FC
262;Guatemala City FC;28/09/2023;24737;|Guatemala City FC
263;Incheon FC;04/09/2024;62316;|Incheon FC
264;Ningde FC;03/11/2024;137347;|Ningde FC
265;Tampa FC;09/05/2025;108114;|Tampa FC
266;Daqing FC;16/10/2023;73415;|Daqing FC
267;Putian FC;04/08/2022;35941;|Putian FC
268;Bandung FC;28/02/2024;10601;|Bandung FC
269;Surabaya FC;03/05/2024;23120;|Surabaya FC
270;Salvador FC;03/01/2024;24520;|Salvador FC
271;Denver FC;19/03/2024;138168;|Denver FC
272;Rome FC;16/09/2025;69517;|Rome FC
273;La Paz FC;10/01/2023;105643;|La Paz FC
274;Hohhot FC;13/04/2023;37804;|Hohhot FC
275;Xiangtan FC;10/02/2024;75844;|Xiangtan FC
276;Pyongyang FC;03/09/2023;20187;|Pyongyang FC
277;Taichung FC;12/08/2022;128676;|Taichung FC
278;Weihai FC;24/07/2022;23898;|Weihai FC
279;Rizhao FC;13/09/2025;139931;|Rizhao FC
280;Mudanjiang FC;12/09/2022;55442;|Mudanjiang FC
281;Kaohsiung FC;12/05/2023;71187;|Kaohsiung FC
282;Guayaquil FC;31/01/2025;64623;|Guayaquil FC
283;Tieling FC;10/10/2023;73544;|Tieling FC
284;Cawnpore FC;03/05/2022;68559;|Cawnpore FC
285;Dingxi FC;18/02/2023;131486;|Dingxi FC
286;Taipei FC;08/02/2023;50698;|Taipei FC
287;Nanping FC;26/05/2024;42580;|Nanping FC
288;Zigong FC;10/07/2022;55237;|Zigong FC
289;Chaozhou FC;09/02/2022;52434;|Chaozhou FC
290;Baotou FC;24/08/2024;96208;|Baotou FC
291;Gulou FC;13/10/2025;42279;|Gulou FC
292;Longyan FC;02/05/2022;80657;|Longyan FC
293;Ankang FC;17/04/2024;125521;|Ankang FC
294;Baoshan FC;17/02/2024;19586;|Baoshan FC
295;Huludao FC;27/01/2023;100173;|Huludao FC
296;Antananarivo FC;27/10/2024;131554;|Antananarivo FC
297;Yanjiang FC;15/07/2023;107247;|Yanjiang FC
298;Chattogram FC;17/11/2024;51703;|Chattogram FC
299;Santo Domingo FC;20/11/2024;96023;|Santo Domingo FC
300;Sanming FC;19/03/2022;49554;|Sanming FC
301;Longba FC;01/12/2025;123517;|Longba FC
302;Brooklyn FC;22/04/2022;41910;|Brooklyn FC
303;Yangjiang FC;26/04/2023;19417;|Yangjiang FC
304;Jiamusi FC;27/07/2024;25476;|Jiamusi FC
305;Ibadan FC;05/04/2022;102655;|Ibadan FC
306;Luohe FC;17/12/2024;142875;|Luohe FC
307;Lincang FC;30/01/2022;29946;|Lincang FC
308;Medellín FC;14/12/2025;4165;|Medellín FC
309;Xuanzhou FC;25/10/2022;11963;|Xuanzhou FC
310;Yunfu FC;14/04/2023;113249;|Yunfu FC
311;Dubai FC;23/11/2023;93944;|Dubai FC
312;Mirz?pur FC;27/04/2024;74039;|Mirz?pur FC
313;Tashkent FC;22/07/2023;94349;|Tashkent FC
314;Guangyuan FC;05/11/2023;44557;|Guangyuan FC
315;Cali FC;28/03/2025;104727;|Cali FC
316;Huangshi FC;17/05/2023;8051;|Huangshi FC
317;Ouagadougou FC;13/08/2023;28734;|Ouagadougou FC
318;Daegu FC;31/12/2023;135627;|Daegu FC
319;Fortaleza FC;13/03/2022;74902;|Fortaleza FC
320;Yaoundé FC;19/02/2023;74829;|Yaoundé FC
321;Douala FC;27/07/2023;32473;|Douala FC
322;Jilin FC;09/03/2022;129402;|Jilin FC
323;Dandong FC;08/02/2025;32946;|Dandong FC
324;Lianshan FC;30/06/2025;39024;|Lianshan FC
325;Yingkou FC;13/12/2025;43149;|Yingkou FC
326;N?gpur FC;12/08/2024;119074;|N?gpur FC
327;Omdurman FC;31/03/2024;29801;|Omdurman FC
328;Bekasi FC;25/06/2025;98742;|Bekasi FC
329;Gh?zi?b?d FC;27/03/2022;77449;|Gh?zi?b?d FC
330;Yuxi FC;11/05/2024;124231;|Yuxi FC
331;Brisbane FC;16/01/2024;86586;|Brisbane FC
332;Anshun FC;21/02/2023;144849;|Anshun FC
333;Depok FC;02/07/2025;78976;|Depok FC
334;Shangzhou FC;05/02/2025;85386;|Shangzhou FC
335;Huainan FC;05/11/2024;120791;|Huainan FC
336;Kuaidamao FC;11/06/2023;124868;|Kuaidamao FC
337;Accra FC;04/08/2022;62223;|Accra FC
338;Fukuoka FC;07/04/2024;73901;|Fukuoka FC
339;Jincheng FC;27/03/2022;95001;|Jincheng FC
340;Vancouver FC;19/06/2023;58208;|Vancouver FC
341;Tangerang FC;09/09/2024;90375;|Tangerang FC
342;Sanmenxia FC;09/04/2023;119617;|Sanmenxia FC
343;Laibin FC;23/05/2024;30128;|Laibin FC
344;Queens FC;30/03/2023;76739;|Queens FC
345;Qinbaling FC;19/04/2025;43498;|Qinbaling FC
346;Xining FC;09/03/2023;32835;|Xining FC
347;Ma’anshan FC;08/07/2022;93474;|Ma’anshan FC
348;Yan’an FC;25/10/2024;121484;|Yan’an FC
349;Baku FC;24/07/2022;78635;|Baku FC
350;Gaoping FC;22/06/2022;69270;|Gaoping FC
351;Harare FC;28/02/2024;57560;|Harare FC
352;Havana FC;26/08/2024;141570;|Havana FC
353;Phnom Penh FC;24/12/2023;90370;|Phnom Penh FC
354;Ningbo FC;18/07/2025;2871;|Ningbo FC
355;Mogadishu FC;19/08/2024;46436;|Mogadishu FC
356;Puning FC;17/04/2024;42250;|Puning FC
357;Medan FC;28/12/2024;32700;|Medan FC
358;Huaibei FC;06/01/2022;146266;|Huaibei FC
359;Qingyang FC;28/08/2025;93204;|Qingyang FC
360;Riverside FC;08/04/2023;139991;|Riverside FC
361;Baltimore FC;20/12/2022;6304;|Baltimore FC
362;Haiphong FC;01/01/2022;121353;|Haiphong FC
363;Las Vegas FC;28/11/2022;92696;|Las Vegas FC
364;Chongzuo FC;20/02/2025;71613;|Chongzuo FC
365;Rawalpindi FC;30/09/2025;62521;|Rawalpindi FC
366;Kumasi FC;30/10/2025;58602;|Kumasi FC
367;Portland FC;29/01/2025;62178;|Portland FC
368;Vadodara FC;22/12/2022;123613;|Vadodara FC
369;Hezhou FC;28/02/2022;54529;|Hezhou FC
370;Pingliang FC;25/01/2025;112103;|Pingliang FC
371;San Antonio FC;21/08/2023;146239;|San Antonio FC
372;Perth FC;16/08/2024;149967;|Perth FC
373;Vish?khapatnam FC;17/08/2025;97278;|Vish?khapatnam FC
374;Shengli FC;20/09/2025;70879;|Shengli FC
375;Gujranwala FC;29/04/2023;83559;|Gujranwala FC
376;Baicheng FC;06/02/2023;24958;|Baicheng FC
377;Fushun FC;16/03/2023;8704;|Fushun FC
378;St. Louis FC;21/01/2024;98541;|St. Louis FC
379;Bamako FC;08/06/2025;130987;|Bamako FC
380;Quito FC;18/11/2023;69277;|Quito FC
381;Minsk FC;10/05/2024;115327;|Minsk FC
382;Indore FC;24/04/2025;137338;|Indore FC
383;Yinchuan FC;09/04/2022;7038;|Yinchuan FC
384;Kananga FC;19/01/2023;105384;|Kananga FC
385;Peshawar FC;03/08/2022;22126;|Peshawar FC
386;Sapporo FC;10/04/2025;78337;|Sapporo FC
387;E?fah?n FC;22/11/2023;11265;|E?fah?n FC
388;Caracas FC;10/10/2025;82815;|Caracas FC
389;Pingxiang FC;05/08/2025;138867;|Pingxiang FC
390;Aleppo FC;12/10/2024;41865;|Aleppo FC
391;Tijuana FC;28/02/2024;70966;|Tijuana FC
392;Almaty FC;08/12/2022;7575;|Almaty FC
393;Vienna FC;03/11/2025;84486;|Vienna FC
394;Th?ne FC;23/06/2024;59129;|Th?ne FC
395;Sacramento FC;02/11/2025;123;|Sacramento FC
396;Blantyre FC;24/06/2024;148599;|Blantyre FC
397;Tainan FC;21/11/2024;34076;|Tainan FC
398;Zhuhai FC;26/01/2022;72955;|Zhuhai FC
399;Bucharest FC;20/09/2022;105112;|Bucharest FC
400;Curitiba FC;17/06/2023;36861;|Curitiba FC
401;Multan FC;13/05/2022;82860;|Multan FC
402;Xiping FC;23/12/2025;140224;|Xiping FC
403;Ecatepec FC;07/12/2024;77290;|Ecatepec FC
404;Jixi FC;15/05/2024;127883;|Jixi FC
405;Saidu Sharif FC;28/03/2023;45339;|Saidu Sharif FC
406;Liaoyang FC;23/09/2022;52935;|Liaoyang FC
407;Hamburg FC;04/05/2024;116133;|Hamburg FC
408;Meru FC;04/02/2023;17224;|Meru FC
409;Brazzaville FC;10/05/2024;91550;|Brazzaville FC
410;Orlando FC;24/05/2022;22358;|Orlando FC
411;Fuxin FC;11/03/2024;23213;|Fuxin FC
412;Wuwei FC;25/05/2023;143974;|Wuwei FC
413;Manaus FC;28/10/2024;53337;|Manaus FC
414;Bhop?l FC;24/05/2022;68879;|Bhop?l FC
415;San Jose FC;17/01/2023;51839;|San Jose FC
416;Warsaw FC;14/05/2023;26850;|Warsaw FC
417;Lubumbashi FC;20/01/2025;88906;|Lubumbashi FC
418;Davao FC;30/12/2022;103046;|Davao FC
419;Haikou FC;02/05/2022;100220;|Haikou FC
420;Damascus FC;30/11/2023;110171;|Damascus FC
421;Shuyangzha FC;27/02/2022;107247;|Shuyangzha FC
422;Brussels FC;01/05/2024;117717;|Brussels FC
423;Lusaka FC;29/11/2022;74078;|Lusaka FC
424;Hyderabad City FC;05/03/2025;63351;|Hyderabad City FC
425;Budapest FC;28/12/2023;35827;|Budapest FC
426;Shuozhou FC;26/04/2023;142563;|Shuozhou FC
427;Cleveland FC;01/12/2022;61116;|Cleveland FC
428;Benxi FC;26/02/2023;135359;|Benxi FC
429;Baiyin FC;29/11/2025;82186;|Baiyin FC
430;Pittsburgh FC;09/10/2022;24657;|Pittsburgh FC
431;Patna FC;10/01/2022;36596;|Patna FC
432;Mosul FC;21/06/2024;88494;|Mosul FC
433;Caloocan City FC;30/01/2023;9004;|Caloocan City FC
434;Austin FC;16/09/2024;106449;|Austin FC
435;Sanzhou FC;19/02/2022;28011;|Sanzhou FC
436;Beihai FC;21/07/2022;76417;|Beihai FC
437;Mecca FC;23/05/2025;47471;|Mecca FC
438;Heihe FC;24/12/2023;4056;|Heihe FC
439;Jingdezhen FC;08/05/2025;20398;|Jingdezhen FC
440;Conakry FC;18/01/2024;34229;|Conakry FC
441;Kampala FC;07/07/2023;18370;|Kampala FC
442;Cincinnati FC;11/09/2023;101891;|Cincinnati FC
443;Recife FC;09/01/2025;75375;|Recife FC
444;Yushan FC;05/09/2024;113404;|Yushan FC
445;Zhongli FC;12/09/2024;100215;|Zhongli FC
446;Kansas City FC;30/09/2023;129709;|Kansas City FC
447;Manhattan FC;07/11/2024;17056;|Manhattan FC
448;Bil?spur FC;18/08/2025;90678;|Bil?spur FC
449;Semarang FC;04/06/2023;120981;|Semarang FC
450;Ludhi?na FC;14/02/2023;106854;|Ludhi?na FC
451;Novosibirsk FC;13/01/2025;71786;|Novosibirsk FC
452;Chengtangcun FC;23/01/2022;87217;|Chengtangcun FC
453;?gra FC;12/11/2024;74950;|?gra FC
454;Karaj FC;27/07/2025;6029;|Karaj FC
455;Wenzhou FC;11/12/2025;78543;|Wenzhou FC
456;Indianapolis FC;20/04/2024;56262;|Indianapolis FC
457;León de los Aldama FC;06/08/2022;62995;|León de los Aldama FC
458;Puebla FC;06/07/2024;141585;|Puebla FC
459;Kaly?n FC;08/06/2025;80226;|Kaly?n FC
460;Madurai FC;18/10/2023;128159;|Madurai FC
461;Mbuji-Mayi FC;07/08/2025;122095;|Mbuji-Mayi FC
462;Hebi FC;12/06/2025;17535;|Hebi FC
463;Sh?r?z FC;17/06/2025;113876;|Sh?r?z FC
464;Jamshedpur FC;03/02/2023;130548;|Jamshedpur FC
465;Columbus FC;16/05/2023;95134;|Columbus FC
466;Tabr?z FC;13/11/2023;146272;|Tabr?z FC
467;Maracaibo FC;01/05/2022;138478;|Maracaibo FC
468;Kawasaki FC;24/07/2022;12791;|Kawasaki FC
469;Aba FC;22/04/2024;120766;|Aba FC
470;Palembang FC;19/02/2025;12496;|Palembang FC
471;Zhangjiajie FC;19/11/2024;5440;|Zhangjiajie FC
472;K?be FC;13/09/2024;149408;|K?be FC
473;Charlotte FC;10/09/2024;7059;|Charlotte FC
474;Changshu FC;19/01/2024;100540;|Changshu FC
475;Lianjiang FC;11/08/2023;16658;|Lianjiang FC
476;Ximeicun FC;09/08/2022;22244;|Ximeicun FC
477;Jianguang FC;15/08/2023;111251;|Jianguang FC
478;Yucheng FC;02/07/2024;48409;|Yucheng FC
479;Belém FC;22/02/2022;14495;|Belém FC
480;Guiping FC;13/10/2022;130447;|Guiping FC
481;Leizhou FC;14/07/2023;51268;|Leizhou FC
482;Gwangju FC;22/12/2025;69597;|Gwangju FC
483;Munich FC;21/05/2022;130349;|Munich FC
